Peaks found on 2018-10-21 11:02:31.269451

Number    Wavelength 
0  5311.1817710095065
1  5579.346992547953
2  5579.347166460061
3  5892.67598713782
4  6302.065567439657
5  6365.747168591631
6  6870.939740281061
7  7333.583650685408
8  7361.794946656626
9  7748.752954349648
10  7781.208616434687
11  7790.31358645173
12  7842.381444873022
13  7889.669131036212
14  7981.263248212502
15  8291.770186240214
16  8299.446797982224
17  8315.597672552112
18  8333.099805110623
19  8372.30773556542
20  8403.385709099923
21  8455.083856736228
22  8463.356710958398
23  8645.177577946106
24  8665.796216997693
25  8668.339038108921
26  8673.092718158727
27  8757.071022941178
28  8766.753212395433
29  8778.945982168516
30  8779.163427950087
31  8815.328834189135
32  8830.160231536245
33  8840.086303541993
34  8867.89721454466
35  8885.791046607183
36  8886.470668645294
37  8897.160373455232
38  8931.47745497425
39  8946.19661261587
40  8979.220726302303
41  8989.226056532576
42  9036.584608615593
43  9038.899024105362
44  9265.273010778143
45  9313.545800248748
46  9319.150534359494
47  9320.197106604322
48  9324.885806365754
