Peaks found on 2018-10-22 09:35:09.759844

Number    Wavelength 
0  5578.9678623215905
1  5891.717867749291
2  6302.015674195237
3  6352.683523998442
4  6472.939355266794
5  6865.840029444281
6  7271.319002864987
7  7340.612148016776
8  7709.982124659746
9  7747.816339507684
10  7748.369279745858
11  7857.729531791607
12  7911.245314557685
13  7911.247944470944
14  7974.653255768942
15  7991.254457457556
16  8025.204329131467
17  8289.264595218843
18  8342.603328928319
19  8361.911739760226
20  8397.630585125866
21  8427.732101667883
22  8428.440426627665
23  8434.483108913573
24  8463.03654440155
25  8495.009472792093
26  8624.275291415252
27  8738.713278469088
28  8740.452722737744
29  8767.923594542273
30  8778.859501933724
31  8827.554950104215
32  8827.554957529557
33  8836.639951582456
34  8859.482748777702
35  8886.412133531448
36  8910.871866718257
37  8912.360154629949
38  8932.438686626485
39  8980.021457123752
40  9021.021091280025
41  9035.540897336119
42  9038.42827681921
43  9294.313989169712
44  9314.177791016844
45  9325.68141945569
