Cube ID     pPXF Reduced chi-squared    Total chi-squared       Reduced chi-squared 
1804     3.5773825458346673     5343.686351580251     4.005761882743816
1578     2.056552722774056     3614.131197511603     2.6870863922019357
1694     1.6439181847746267     868.1004253439977     0.7350553982591005
849     2.170478801113183     4647.69179143616     1.9701957572853583
490     1.6780041563708592     1243.5906591282169     0.8454049348254363
286     3.443470674972495     4081.197140723449     2.7594301154316763
1     7.243694009245991     4703.6688928068315     2.500621420949937
5     5.56486182920634     5615.309115751741     4.168752127506861
767     2.0739118737045836     1979.5084978326352     1.5145436096653673
414     2.5431265143889754     3005.879741401025     1.4620037652728721
549     1.3180270217271202     2309.905157532584     0.9939350936026609
6     11.049217275090864     4077.190312399896     3.1314825748079076
175     1.684917313405605     1732.7689529159334     1.0121313977312696
1129     1.5187680384062934     1376.35402676537     1.2223392777667585
