Peaks found on 2018-10-22 09:34:45.907095

Number    Wavelength 
0  5578.165614441122
1  5578.167575435225
2  5875.8599512886085
3  5888.852202516125
4  6284.400517097223
5  6295.004033502677
6  6358.29966078308
7  6374.977554276742
8  6589.656801338198
9  6589.658377189148
10  7356.175738692322
11  7703.777674265629
12  7815.946799378938
13  7991.349205825204
14  8342.676859494495
15  8342.676942506489
16  8348.47724746973
17  8405.613729479006
18  8428.87305398449
19  8469.56897126587
20  8505.818203181843
21  8593.825582245523
22  8767.738165635703
23  8767.739262653486
24  8767.739262952413
25  8791.51418038576
26  8798.761887615277
27  8838.897732453539
28  8867.76409617912
29  8885.840044124461
30  8920.184849156494
31  8931.388634885943
32  8946.137830199521
33  8983.920678721395
34  8990.886442300167
35  9102.812601983946
36  9312.821763704782
37  9313.65289797626
38  9317.759177963397
39  9321.730851220684
40  9336.667959297292
41  9336.669456917347
