Freq,Power,Theor.AR(1),chi2 80%,chi2 90%,chi2 95%,chi2 99%,chi2 crit.
0.013038,2.2505,4.1981,6.4509,8.6129,10.705,15.409,22.781
0.013188,3.8013,4.1599,6.3921,8.5344,10.607,15.269,22.573
0.013338,4.4761,4.1219,6.3337,8.4564,10.51,15.129,22.367
0.013488,4.2706,4.0842,6.2758,8.379,10.414,14.991,22.162
0.013638,2.7748,4.0467,6.2182,8.3022,10.319,14.853,21.959
0.013788,1.5797,4.0096,6.1611,8.226,10.224,14.717,21.758
0.013938,0.94189,3.9727,6.1045,8.1504,10.13,14.582,21.558
0.014087,1.0407,3.9361,6.0483,8.0753,10.037,14.447,21.359
0.014237,1.8417,3.8998,5.9925,8.0009,9.9442,14.314,21.162
0.014387,2.0359,3.8639,5.9372,7.9271,9.8524,14.182,20.967
0.014537,2.1717,3.8282,5.8824,7.8538,9.7614,14.051,20.773
0.014687,1.7478,3.7928,5.828,7.7812,9.6711,13.921,20.581
0.014837,1.3688,3.7577,5.7741,7.7092,9.5817,13.792,20.391
0.014987,1.2831,3.7229,5.7206,7.6379,9.493,13.665,20.202
0.015136,1.1472,3.6884,5.6677,7.5671,9.405,13.538,20.015
0.015286,1.0112,3.6542,5.6151,7.497,9.3179,13.413,19.829
0.015436,0.84554,3.6204,5.5631,7.4275,9.2315,13.288,19.646
0.015586,0.69246,3.5868,5.5115,7.3587,9.146,13.165,19.463
0.015736,0.64572,3.5536,5.4604,7.2904,9.0612,13.043,19.283
0.015886,0.80715,3.5206,5.4098,7.2228,8.9771,12.922,19.104
0.016036,0.52482,3.488,5.3596,7.1559,8.8939,12.802,18.927
0.016186,0.39728,3.4556,5.31,7.0895,8.8115,12.684,18.752
0.016335,0.15075,3.4236,5.2607,7.0238,8.7298,12.566,18.578
0.016485,0.22365,3.3919,5.212,6.9588,8.6489,12.45,18.406
0.016635,0.55582,3.3605,5.1637,6.8943,8.5688,12.334,18.235
0.016785,0.73044,3.3294,5.1159,6.8305,8.4895,12.22,18.067
0.016935,0.61157,3.2986,5.0686,6.7673,8.411,12.107,17.899
0.017085,0.50232,3.2681,5.0218,6.7048,8.3332,11.995,17.734
0.017235,0.59722,3.2379,4.9754,6.6428,8.2563,11.885,17.57
0.017384,1.0474,3.208,4.9294,6.5815,8.18,11.775,17.408
0.017534,2.0072,3.1784,4.884,6.5208,8.1046,11.666,17.247
0.017684,2.2107,3.1491,4.839,6.4607,8.0299,11.559,17.088
0.017834,2.6402,3.1201,4.7944,6.4013,7.956,11.452,16.931
0.017984,2.1592,3.0914,4.7503,6.3424,7.8828,11.347,16.775
0.018134,2.0707,3.0631,4.7067,6.2841,7.8104,11.243,16.621
