:			-	-	-	-	-	-	
			A	B	C	D	E	F	
Black	Dot	85	0.03058	0.41184	4.65287	4.8		0.574295104105524	
Black	Dot	86	0.03116	0.41403	4.37933	4.72		0.495108911438221	
Black	Dot	87	0.0318	0.41607	4.1064	4.71		0.485922718770919	
Black	Dot	88	0.03235	0.41793	3.83439	4.68		0.456736526103616	
Black	Dot	89	0.03294	0.41959	3.56244	4.71		0.487550333436314	
Black	Dot	90	0.0336	0.42099	3.28983	4.71		0.488364140769012	
Black	Dot	91	0.03411	0.42212	3.01758	4.73		0.50917794810171	
Black	Dot	92	0.03474	0.42294	2.74496	4.69		0.469991755434407	
Black	Dot	93	0.03532	0.42345	2.47331	4.53		0.310805562767105	
Black	Dot	94	0.03588	0.42362	2.19852	4.54		0.321619370099802	
Black	Dot	95	0.03645	0.42344	1.9259	4.33		0.1124331774325	
Black	Dot	96	0.037	0.42291	1.65199	4.08		-0.136753015234803	
Black	Dot	97	0.03754	0.42203	1.3752	3.99		-0.225939207902105	
Black	Dot	98	0.03809	0.42081	1.10037	4		-0.215125400569408	
Black	Dot	99	0.03855	0.41927	0.82258	4.18		-0.0343115932367104	
Black	Dot	100	0.03914	0.41744	0.54451	4.35		0.136502214095987	
Black	Dot	101	0.03958	0.41535	0.26471	4.37		0.157316021428685	
Black	Dot	102	0.04006	0.41303	6.26696	4.28		0.0681298287613829	
Black	Dot	103	0.04056	0.41054	5.98569	4.3		0.08894363609408	
Black	Dot	104	0.04096	0.40793	5.70136	4.23		0.0197574434267782	
Black	Dot	105	0.04138	0.40527	5.41588	4.27		0.0605712507594749	
Black	Dot	106	0.04177	0.40262	5.13102	4.17		-0.0386149419078272	
Black	Dot	107	0.04212	0.40004	4.8408	3.88		-0.32780113457513	
Black	Dot	108	0.04245	0.39762	4.55191	3.98		-0.226987327242432	
Black	Dot	109	0.04272	0.39542	4.26103	3.73		-0.476173519909734	
Black	Dot	110	0.04303	0.3935	3.96815	3.61		-0.595359712577037	
Black	Dot	111	0.04325	0.39192	3.67443	3.43		-0.774545905244339	
Black	Dot	112	0.04342	0.39074	3.38049	3.59		-0.613732097911642	
Black	Dot	113	0.04365	0.39	3.08503	3.71		-0.492918290578944	
Black	Dot	114	0.04373	0.38972	2.78996	4.25		0.0478955167537535	
Black	Dot	115	0.04384	0.38993	2.49379	4.72		0.518709324086451	
Black	Dot	116	0.04388	0.39061	2.19919	5.17		0.969523131419149	
Black	Dot	117	0.04392	0.39175	1.90446	5.14		0.940336938751846	
Black	Dot	118	0.04388	0.39333	1.60921	5.04		0.841150746084544	
Black	Dot	119	0.04381	0.39529	1.3179	4.76		0.561964553417241	
Black	Dot	120	0.04372	0.39758	1.02538	4.8		0.602778360749939	
Black	Dot	121	0.04358	0.40013	0.73499	4.87		0.673592168082637	
Black	Dot	122	0.04337	0.40286	0.44708	4.81		0.614405975415334	
Black	Dot	123	0.04315	0.4057	0.15996	4.77		0.575219782748031	
Black	Dot	124	0.04292	0.40856	6.15816	4.64		0.446033590080729	
Black	Dot	125	0.04255	0.41135	5.87468	4.58		0.386847397413427	
Black	Dot	126	0.04224	0.41401	5.59348	4.62		0.427661204746124	
Black	Dot	127	0.04186	0.41646	5.31394	4.45		0.258475012078822	
Black	Dot	128	0.04141	0.41863	5.03495	4.51		0.319288819411519	
Black	Dot	129	0.04099	0.42047	4.75868	4.44		0.250102626744217	
Black	Dot	130	0.04049	0.42192	4.48442	4.13		-0.0590835659230855	
Black	Dot	131	0.04	0.42296	4.20863	4.29		0.101730241409612	
Black	Dot	132	0.03945	0.42355	3.93766	4.21		0.0225440487423097	
Black	Dot	133	0.03888	0.42368	3.66556	3.89		-0.296642143924993	
Black	Dot	134	0.03835	0.42336	3.39475	3.84		-0.345828336592295	
Black	Dot	135	0.03772	0.42258	3.12518	3.63		-0.555014529259598	
Black	Dot	136	0.03708	0.42138	2.85612	3.51		-0.6742007219269	
Black	Dot	137	0.03656	0.41979	2.58807	3.59		-0.593386914594203	
Black	Dot	138	0.03583	0.41785	2.31915	4.07		-0.112573107261505	
Black	Dot	139	0.03525	0.41562	2.05214	4.54		0.358240700071193	
Black	Dot	140	0.03462	0.41316	1.78546	4.88		0.69905450740389	
Black	Dot	141	0.03397	0.41055	1.51749	4.56		0.379868314736587	
Black	Dot	142	0.03337	0.40785	1.25145	4.59		0.410682122069285	
Black	Dot	143	0.03274	0.40514	0.98621	4.62		0.441495929401983	
Black	Dot	144	0.03216	0.40251	0.71893	4.66		0.482309736734681	
Black	Dot	145	0.03158	0.40003	0.45474	4.68		0.503123544067378	
Black	Dot	146	0.03098	0.39776	0.18963	4.64		0.463937351400075	
Black	Dot	147	0.03052	0.39577	6.20846	4.64		0.464751158732773	
Black	Dot	148	0.02997	0.39412	5.94471	4.42		0.245564966065471	
Black	Dot	149	0.02952	0.39286	5.68194	4.56		0.386378773398168	
Black	Dot	150	0.02914	0.39202	5.42034	4.61		0.437192580730866	
Black	Dot	151	0.02876	0.39162	5.15975	4.5		0.328006388063564	
Black	Dot	152	0.02844	0.39167	4.89847	4.49		0.318820195396261	
Black	Dot	153	0.0282	0.39216	4.64335	4.44		0.269634002728959	
Black	Dot	154	0.028	0.39307	4.38357	4.4		0.230447810061657	
Black	Dot	155	0.02785	0.39437	4.12874	4.29		0.121261617394354	
Black	Dot	156	0.02778	0.396	3.87554	4.1		-0.067924575272949	
Black	Dot	157	0.02776	0.3979	3.62071	3.95		-0.217110767940251	
Black	Dot	158	0.02783	0.40002	3.3691	3.84		-0.326296960607554	
Black	Dot	159	0.02789	0.40229	3.11819	3.85		-0.315483153274856	
Black	Dot	160	0.02811	0.40464	2.86724	3.87		-0.294669345942158	
Black	Dot	161	0.02833	0.407	2.61726	4.09		-0.0738555386094609	
Black	Dot	162	0.02857	0.40931	2.36725	4.23		0.0669582687232372	
Black	Dot	163	0.02893	0.41152	2.1181	4.25		0.0877720760559344	
Black	Dot	164	0.0293	0.41357	1.86825	4.15		-0.0114141166113677	
Black	Dot	165	0.02968	0.41543	1.61655	3.98		-0.18060030927867	
Black	Dot	166	0.03014	0.41706	1.36771	4.06		-0.0997865019459733	
Black	Dot	167	0.03061	0.41843	1.11486	4.33		0.171027305386725	
Black	Dot	168	0.03108	0.41953	0.86138	4.64		0.481841112719422	
Black	Dot	169	0.0316	0.42032	0.60911	4.42		0.26265492005212	
Black	Dot	170	0.0321	0.42082	0.35311	4.41		0.253468727384818	
Black	Dot	171	0.03268	0.42101	0.09631	4.31		0.154282534717515	
Black	Dot	172	0.03317	0.4209	6.1221	4.31		0.155096342050212	
Black	Dot	173	0.03376	0.42049	5.86283	4.32		0.16591014938291	
Black	Dot	174	0.03433	0.41979	5.60108	4.45		0.296723956715608	
Black	Dot	175	0.03484	0.41883	5.33939	4.5		0.347537764048305	
Black	Dot	176	0.03543	0.41762	5.0741	4.62		0.468351571381003	
Black	Dot	177	0.03599	0.41619	4.80987	4.53		0.379165378713701	
Black	Dot	178	0.03653	0.41457	4.54051	4.27		0.119979186046398	
Black	Dot	179	0.03708	0.41279	4.27247	4.23		0.0807929933790959	
Black	Dot	180	0.03764	0.41089	4.00258	4.01		-0.138393199288207	
Black	Dot	181	0.03817	0.40891	3.72861	3.94		-0.207579391955509	
Black	Dot	182	0.0387	0.40688	3.45625	3.77		-0.376765584622812	
Black	Dot	183	0.03922	0.40484	3.18157	3.73		-0.415951777290114	
Black	Dot	184	0.0398	0.40282	2.90363	3.69		-0.455137969957417	
Black	Dot	185	0.04025	0.40087	2.62735	3.58		-0.564324162624719	
Black	Dot	186	0.04078	0.39902	2.34756	3.62		-0.523510355292021	
Black	Dot	187	0.04132	0.39731	2.06819	3.67		-0.472696547959324	
Black	Dot	188	0.04176	0.39576	1.7867	3.91		-0.231882740626626	
Black	Dot	189	0.04224	0.39443	1.5047	4.05		-0.091068933293929	
Black	Dot	190	0.04276	0.39332	1.2232	4.09		-0.0502551259612314	
Black	Dot	191	0.04315	0.39248	0.93828	4.17		0.0305586813714663	
Black	Dot	192	0.04363	0.39193	0.65504	4.1		-0.0386275112958364	
Black	Dot	193	0.04401	0.3917	0.37083	4.19		0.0521862960368619	
Black	Dot	194	0.04445	0.39178	0.08511	4.04		-0.0969998966304409	
Black	Dot	195	0.04482	0.39221	6.08323	4.14		0.0038139107022563	
Black	Dot	196	0.04516	0.39296	5.79814	3.92		-0.215372281965046	
Black	Dot	197	0.04559	0.39405	5.51213	3.74		-0.394558474632348	
Black	Dot	198	0.04589	0.39546	5.22724	3.78		-0.353744667299651	
Black	Dot	199	0.04621	0.39716	4.94173	3.88		-0.252930859966953	
Black	Dot	200	0.04659	0.39914	4.65823	4.38		0.247882947365744	
Black	Dot	201	0.04688	0.40134	4.37345	4.64		0.508696754698442	
Black	Dot	202	0.04717	0.40373	4.09039	5		0.86951056203114	
Black	Dot	203	0.04749	0.40625	3.80891	5.09		0.960324369363837	
Black	Dot	204	0.04775	0.40886	3.52654	4.82		0.691138176696535	
Black	Dot	205	0.04804	0.41149	3.2464	4.92		0.791951984029232	
Black	Dot	206	0.04826	0.41409	2.96691	5.02		0.892765791361929	
Black	Dot	207	0.04853	0.41659	2.68825	4.96		0.833579598694627	
Black	Dot	208	0.04878	0.41894	2.40988	4.84		0.714393406027325	
Black	Dot	209	0.04892	0.42107	2.13332	4.88		0.755207213360022	
Black	Dot	210	0.04918	0.42294	1.85679	4.9		0.776021020692721	
Black	Dot	211	0.04933	0.42448	1.5809	4.81		0.686834828025417	
Black	Dot	212	0.04947	0.42567	1.30526	4.78		0.657648635358116	
Black	Dot	213	0.04962	0.42645	1.0304	4.77		0.648462442690812	
Black	Dot	214	0.04975	0.42681	0.75565	4.7		0.579276250023511	
Black	Dot	215	0.04981	0.42673	0.47915	4.7		0.580090057356208	
Black	Dot	216	0.04989	0.42619	0.20517	4.81		0.690903864688905	
Black	Dot	217	0.04993	0.4252	6.21161	4.51		0.391717672021603	
