:			-	-	-	-	-	-	
			A	B	C	D	E	F	
Black	Dot	928	0.0252	0.39682	1.35617	3.57		0.0303346855695752	
Black	Dot	929	0.02641	0.39591	1.0724	3.55		0.0111484929022727	
Black	Dot	930	0.02768	0.39525	0.79016	3.85		0.311962300234971	
Black	Dot	931	0.02884	0.39486	0.50019	3.79		0.252776107567668	
Black	Dot	932	0.03003	0.39475	0.21433	3.7		0.163589914900366	
Black	Dot	933	0.03117	0.3949	6.20874	3.46		-0.0755962777669369	
Black	Dot	934	0.03233	0.39532	5.91812	3.42		-0.114782470434239	
Black	Dot	935	0.03345	0.39597	5.6288	3.33		-0.203968663101542	
Black	Dot	936	0.03452	0.39685	5.33873	3.29		-0.243154855768844	
Black	Dot	937	0.03566	0.39791	5.04788	3.3		-0.232341048436147	
Black	Dot	938	0.0367	0.39913	4.75826	3.35		-0.181527241103449	
Black	Dot	939	0.03773	0.40047	4.4672	3.43		-0.100713433770751	
Black	Dot	940	0.03879	0.40191	4.17877	3.53		0.000100373561945957	
Black	Dot	941	0.0398	0.4034	3.88842	3.51		-0.0190858191053565	
Black	Dot	942	0.04077	0.40493	3.59892	3.51		-0.0182720117726589	
Black	Dot	943	0.04177	0.40647	3.3115	3.56		0.0325417955600389	
Black	Dot	944	0.04271	0.40798	3.02221	3.54		0.0133556028927365	
Black	Dot	945	0.04366	0.40944	2.73437	3.45		-0.0758305897745658	
Black	Dot	946	0.04454	0.41085	2.44706	3.33		-0.195016782441868	
Black	Dot	947	0.04546	0.41216	2.15999	3.28		-0.244202975109171	
Black	Dot	948	0.04636	0.41336	1.87247	3.26		-0.263389167776474	
Black	Dot	949	0.04713	0.41443	1.58644	3.23		-0.292575360443776	
Black	Dot	950	0.04802	0.41537	1.30004	3.26		-0.261761553111078	
Black	Dot	951	0.0488	0.41614	1.01375	3.26		-0.260947745778381	
Black	Dot	952	0.04954	0.41675	0.72783	3.38		-0.140133938445683	
Black	Dot	953	0.0503	0.41718	0.44153	3.58		0.0606798688870146	
Black	Dot	954	0.05099	0.41743	0.1563	3.66		0.141493676219712	
Black	Dot	955	0.05168	0.41749	6.15169	3.62		0.10230748355241	
Black	Dot	956	0.0523	0.41737	5.86638	3.49		-0.0268787091148925	
Black	Dot	957	0.0529	0.41707	5.57945	3.41		-0.106064901782195	
Black	Dot	958	0.05352	0.41659	5.29134	3.34		-0.175251094449498	
Black	Dot	959	0.05402	0.41593	5.0043	3.3		-0.2144372871168	
Black	Dot	960	0.05454	0.41511	4.71627	3.27		-0.243623479784102	
Black	Dot	961	0.05508	0.41414	4.42735	3.23		-0.282809672451405	
Black	Dot	962	0.05544	0.41303	4.1383	3.38		-0.131995865118707	
Black	Dot	963	0.05591	0.41178	3.84811	3.37		-0.14118205778601	
Black	Dot	964	0.05626	0.41043	3.55848	3.33		-0.180368250453312	
Black	Dot	965	0.05659	0.40899	3.26608	3.29		-0.219554443120615	
Black	Dot	966	0.05689	0.4075	2.97457	3.28		-0.228740635787917	
Black	Dot	967	0.05715	0.40598	2.68211	3.44		-0.0679268284552195	
Black	Dot	968	0.05738	0.40447	2.38736	3.5		-0.00711302112252189	
Black	Dot	969	0.05756	0.403	2.09411	3.57		0.0637007862101755	
Black	Dot	970	0.05765	0.4016	1.79819	3.61		0.104514593542873	
Black	Dot	971	0.05781	0.40032	1.50283	3.42		-0.0846715991244293	
Black	Dot	972	0.05781	0.39918	1.20612	3.23		-0.273857791791732	
Black	Dot	973	0.0578	0.39821	0.90874	3.17		-0.333043984459034	
Black	Dot	974	0.05778	0.39744	0.61203	2.96		-0.542230177126337	
Black	Dot	975	0.05767	0.3969	0.31313	3.02		-0.481416369793639	
Black	Dot	976	0.05751	0.3966	0.01474	3.07		-0.430602562460941	
Black	Dot	977	0.05731	0.39656	6.00094	3.21		-0.289788755128244	
Black	Dot	978	0.05707	0.39678	5.7008	3.26		-0.238974947795546	
Black	Dot	979	0.05675	0.39727	5.40335	3.18		-0.318161140462848	
Black	Dot	980	0.05639	0.39802	5.10524	3.17		-0.327347333130151	
Black	Dot	981	0.05598	0.39901	4.80756	3.35		-0.146533525797453	
Black	Dot	982	0.05553	0.40023	4.51051	3.28		-0.215719718464756	
Black	Dot	983	0.05495	0.40162	4.2138	3.41		-0.0849059111320582	
Black	Dot	984	0.05444	0.40317	3.91881	3.42		-0.0740921037993608	
Black	Dot	985	0.05379	0.40482	3.62351	3.27		-0.223278296466663	
Black	Dot	986	0.05309	0.40654	3.32986	3.13		-0.362464489133966	
Black	Dot	987	0.05239	0.40826	3.03722	2.9		-0.591650681801268	
Black	Dot	988	0.05159	0.40996	2.74585	2.98		-0.510836874468571	
Black	Dot	989	0.05078	0.41157	2.45455	2.9		-0.590023067135873	
Black	Dot	990	0.04985	0.41306	2.16573	2.99		-0.499209259803175	
Black	Dot	991	0.04893	0.41439	1.87744	3.08		-0.408395452470478	
Black	Dot	992	0.04797	0.41552	1.58903	3.22		-0.26758164513778	
Black	Dot	993	0.04688	0.41643	1.30378	3.34		-0.146767837805083	
Black	Dot	994	0.04582	0.41708	1.01783	3.4		-0.0859540304723852	
Black	Dot	995	0.04472	0.41746	0.7334	3.43		-0.0551402231396873	
Black	Dot	996	0.04348	0.41756	0.44943	3.56		0.0756735841930101	
Black	Dot	997	0.04232	0.41736	0.16698	3.5		0.0164873915257076	
Black	Dot	998	0.04106	0.41687	6.16852	3.42		-0.0626988011415949	
Black	Dot	999	0.03975	0.41611	5.8867	3.35		-0.131884993808897	
Black	Dot	1000	0.03847	0.41509	5.60644	3.39		-0.0910711864761995	
Black	Dot	1001	0.03707	0.41383	5.32867	3.37		-0.110257379143502	
Black	Dot	1002	0.03576	0.41239	5.04837	3.26		-0.219443571810805	
Black	Dot	1003	0.03429	0.41079	4.77249	3.09		-0.388629764478107	
Black	Dot	1004	0.03288	0.4091	4.49629	2.96		-0.517815957145409	
Black	Dot	1005	0.03149	0.40736	4.22122	3.01		-0.467002149812712	
Black	Dot	1006	0.03	0.40562	3.94897	3.02		-0.456188342480014	
Black	Dot	1007	0.02856	0.40393	3.67745	3.12		-0.355374535147317	
Black	Dot	1008	0.0272	0.40235	3.41158	3.18		-0.294560727814619	
Black	Dot	1009	0.02573	0.40092	3.14528	3.3		-0.173746920481922	
Black	Dot	1010	0.02436	0.39967	2.88622	3.3		-0.172933113149224	
Black	Dot	1011	0.02303	0.39865	2.63324	3.37		-0.102119305816526	
Black	Dot	1012	0.02174	0.39787	2.3814	3.08		-0.391305498483829	
Black	Dot	1013	0.0205	0.39736	2.14164	3.07		-0.400491691151131	
Black	Dot	1014	0.01936	0.39715	1.90893	3		-0.469677883818434	
Black	Dot	1015	0.01831	0.39723	1.68141	2.99		-0.478864076485736	
Black	Dot	1016	0.01743	0.3976	1.46866	2.94		-0.528050269153039	
Black	Dot	1017	0.0166	0.39826	1.26103	2.99		-0.477236461820341	
Black	Dot	1018	0.01609	0.39918	1.06569	3.02		-0.446422654487643	
Black	Dot	1019	0.01566	0.40034	0.87419	3.13		-0.335608847154946	
Black	Dot	1020	0.01545	0.40168	0.69127	3.21		-0.254795039822248	
Black	Dot	1021	0.01556	0.40317	0.50685	3.22		-0.24398123248955	
Black	Dot	1022	0.01575	0.40476	0.32337	3.28		-0.183167425156853	
Black	Dot	1023	0.01621	0.40638	0.13167	3.21		-0.252353617824156	
Black	Dot	1024	0.01687	0.408	6.22159	3.3		-0.161539810491458	
Black	Dot	1025	0.01765	0.40957	6.01518	3.12		-0.34072600315876	
Black	Dot	1026	0.01857	0.41104	5.80173	3.02		-0.439912195826063	
Black	Dot	1027	0.01961	0.41238	5.58378	3.19		-0.269098388493365	
Black	Dot	1028	0.02072	0.41357	5.35154	3.12		-0.338284581160668	
Black	Dot	1029	0.02191	0.41459	5.11563	3.32		-0.13747077382797	
Black	Dot	1030	0.02312	0.4154	4.87492	3.15		-0.306656966495273	
Black	Dot	1031	0.0244	0.41602	4.62466	3.33		-0.125843159162575	
Black	Dot	1032	0.02568	0.41641	4.3719	3.28		-0.175029351829878	
Black	Dot	1033	0.02694	0.41659	4.11474	3.52		0.0657844555028202	
Black	Dot	1034	0.02828	0.41655	3.85249	3.25		-0.203401737164482	
Black	Dot	1035	0.02956	0.41628	3.58848	3.26		-0.192587929831785	
Black	Dot	1036	0.03081	0.41581	3.31884	3.49		0.0382258775009131	
Black	Dot	1037	0.0321	0.41513	3.04983	3.53		0.0790396848336102	
Black	Dot	1038	0.03337	0.41427	2.77526	3.68		0.229853492166308	
Black	Dot	1039	0.03453	0.41325	2.4991	3.73		0.280667299499006	
Black	Dot	1040	0.03579	0.4121	2.22274	3.65		0.201481106831703	
Black	Dot	1041	0.03693	0.41083	1.94171	3.42		-0.0277050858355994	
Black	Dot	1042	0.03811	0.4095	1.66042	3.41		-0.0368912785029016	
Black	Dot	1043	0.0392	0.40812	1.37743	3.24		-0.206077471170204	
Black	Dot	1044	0.04028	0.40672	1.09298	3.17		-0.275263663837507	
Black	Dot	1045	0.04137	0.40535	0.80588	3.09		-0.354449856504809	
Black	Dot	1046	0.04234	0.40402	0.51935	3.17		-0.273636049172112	
Black	Dot	1047	0.04335	0.40275	0.23051	3.21		-0.232822241839414	
Black	Dot	1048	0.04432	0.40156	6.2246	3.2		-0.242008434506716	
Black	Dot	1049	0.04517	0.40048	5.93351	3.31		-0.131194627174019	
Black	Dot	1050	0.04609	0.39951	5.64261	3.34		-0.100380819841321	
Black	Dot	1051	0.04691	0.39868	5.35119	3.32		-0.119567012508624	
Black	Dot	1052	0.0477	0.39799	5.05754	3.31		-0.128753205175926	
Black	Dot	1053	0.04845	0.39747	4.76452	3.45		0.0120606021567717	
Black	Dot	1054	0.04914	0.39712	4.47172	3.4		-0.037125590510531	
Black	Dot	1055	0.04988	0.39696	4.17559	3.32		-0.116311783177833	
Black	Dot	1056	0.05044	0.39701	3.88275	3.15		-0.285497975845136	
Black	Dot	1057	0.05107	0.39726	3.58728	3.07		-0.364684168512438	
Black	Dot	1058	0.05166	0.39771	3.29251	3.06		-0.373870361179741	
Black	Dot	1059	0.05214	0.39836	2.99808	3.04		-0.393056553847043	
Black	Dot	1060	0.05262	0.39921	2.70264	3.1		-0.332242746514345	
Black	Dot	1061	0.0531	0.40023	2.40933	3.22		-0.211428939181648	
Black	Dot	1062	0.05347	0.40142	2.11371	3.21		-0.22061513184895	
Black	Dot	1063	0.05387	0.40276	1.82025	3.1		-0.329801324516253	
Black	Dot	1064	0.05418	0.40423	1.52759	3.33		-0.0989875171835551	
Black	Dot	1065	0.05451	0.40581	1.23333	3.3		-0.128173709850858	
Black	Dot	1066	0.05475	0.40746	0.94141	3.1		-0.32735990251816	
Black	Dot	1067	0.05496	0.40917	0.64976	3.25		-0.176546095185462	
Black	Dot	1068	0.0552	0.4109	0.35799	3.19		-0.235732287852765	
Black	Dot	1069	0.0553	0.41262	0.06781	3.11		-0.314918480520067	
Black	Dot	1070	0.05541	0.41429	6.06028	3.14		-0.28410467318737	
Black	Dot	1071	0.05551	0.41587	5.77166	3.2		-0.223290865854672	
Black	Dot	1072	0.05554	0.41733	5.48237	3.19		-0.232477058521975	
Black	Dot	1073	0.05551	0.41862	5.19359	3.11		-0.311663251189277	
Black	Dot	1074	0.05549	0.4197	4.90685	3.12		-0.300849443856579	
Black	Dot	1075	0.05541	0.42055	4.61794	3.15		-0.270035636523882	
Black	Dot	1076	0.05528	0.42114	4.3312	3.1		-0.319221829191184	
Black	Dot	1077	0.05512	0.42144	4.04369	3.16		-0.258408021858487	
Black	Dot	1078	0.05492	0.42143	3.75634	3.16		-0.257594214525789	
Black	Dot	1079	0.05474	0.4211	3.46866	3.17		-0.246780407193092	
Black	Dot	1080	0.05439	0.42045	3.18075	3.2		-0.215966599860394	
Black	Dot	1081	0.05415	0.41948	2.89309	3		-0.415152792527696	
Black	Dot	1082	0.05381	0.4182	2.60348	3.04		-0.374338985194999	
Black	Dot	1083	0.05339	0.41662	2.31397	3.1		-0.313525177862301	
Black	Dot	1084	0.05302	0.41477	2.02396	2.97		-0.442711370529604	
Black	Dot	1085	0.05256	0.41269	1.7327	3.07		-0.341897563196906	
Black	Dot	1086	0.05206	0.4104	1.43922	3.09		-0.321083755864209	
Black	Dot	1087	0.05155	0.40797	1.14662	3.02		-0.390269948531511	
Black	Dot	1088	0.05097	0.40545	0.85132	3.07		-0.339456141198814	
Black	Dot	1089	0.0504	0.40289	0.55471	3.14		-0.268642333866116	
Black	Dot	1090	0.0497	0.40038	0.25743	3.23		-0.177828526533418	
Black	Dot	1091	0.04902	0.39797	6.24129	3.61		0.202985280799279	
Black	Dot	1092	0.04832	0.39575	5.94048	3.75		0.343799088131977	
Black	Dot	1093	0.04747	0.39378	5.63892	3.57		0.164612895464674	
Black	Dot	1094	0.04668	0.39212	5.33458	3.58		0.175426702797372	
Black	Dot	1095	0.04581	0.39082	5.03177	3.75		0.346240510130069	
Black	Dot	1096	0.04492	0.38994	4.72495	3.57		0.167054317462767	
Black	Dot	1097	0.04395	0.38948	4.41971	3.47		0.0678681247954648	
Black	Dot	1098	0.04296	0.38947	4.11432	3.38		-0.0213180678718379	
Black	Dot	1099	0.04197	0.38993	3.80595	3.39		-0.0105042605391401	
Black	Dot	1100	0.04089	0.39082	3.50084	3.31		-0.0896904532064426	
Black	Dot	1101	0.03976	0.39213	3.19462	3.36		-0.0388766458737452	
Black	Dot	1102	0.0387	0.39384	2.88835	3.5		0.101937161458952	
Black	Dot	1103	0.03746	0.39588	2.58377	3.73		0.33275096879165	
Black	Dot	1104	0.0363	0.39822	2.27942	3.72		0.323564776124348	
Black	Dot	1105	0.03508	0.40077	1.97723	3.61		0.214378583457045	
Black	Dot	1106	0.03379	0.40347	1.67506	3.62		0.225192390789743	
Black	Dot	1107	0.03251	0.40624	1.37376	3.53		0.13600619812244	
Black	Dot	1108	0.03117	0.40901	1.07732	3.5		0.106820005455138	
Black	Dot	1109	0.02984	0.41169	0.77718	3.41		0.0176338127878356	
Black	Dot	1110	0.02842	0.41423	0.48133	3.45		0.0584476201205332	
Black	Dot	1111	0.02698	0.41656	0.18664	3.32		-0.0707385725467696	
Black	Dot	1112	0.02554	0.41862	6.17374	3.21		-0.179924765214072	
Black	Dot	1113	0.02406	0.42038	5.88046	3.16		-0.229110957881374	
Black	Dot	1114	0.0225	0.4218	5.58469	3.16		-0.228297150548677	
Black	Dot	1115	0.02102	0.42286	5.29293	3.18		-0.207483343215979	
Black	Dot	1116	0.01948	0.42356	4.99712	3.16		-0.226669535883281	
Black	Dot	1117	0.01787	0.42388	4.70213	3.19		-0.195855728550584	
Black	Dot	1118	0.01636	0.42382	4.40989	3.18		-0.205041921217886	
Black	Dot	1119	0.01476	0.4234	4.11099	3.16		-0.224228113885189	
Black	Dot	1120	0.0132	0.42262	3.81416	3.38		-0.00341430655249138	
Black	Dot	1121	0.01161	0.42152	3.51955	3.32		-0.0626004992197939	
Black	Dot	1122	0.01004	0.42011	3.21774	3.24		-0.141786691887096	
Black	Dot	1123	0.0085	0.41845	2.91707	3.22		-0.160972884554398	
Black	Dot	1124	0.0069	0.41656	2.61589	3.22		-0.160159077221701	
Black	Dot	1125	0.00533	0.41451	2.30659	3.02		-0.359345269889003	
Black	Dot	1126	0.0038	0.41234	2.00616	2.97		-0.408531462556306	
Black	Dot	1127	0.00219	0.41012	1.64819	3.31		-0.0677176552236082	
Black	Dot	1128	0.00066	0.4079	1.25409	3.27		-0.106903847890911	
Black	Dot	1129	0.00091	0.40574	4.40525	3.21		-0.166090040558213	
Black	Dot	1130	0.00248	0.40369	4.03264	3.16		-0.215276233225515	
Black	Dot	1131	0.00402	0.4018	3.69449	3.14		-0.234462425892818	
Black	Dot	1132	0.00559	0.40009	3.37826	3.22		-0.15364861856012	
Black	Dot	1133	0.00705	0.39859	3.07536	3.3		-0.072834811227423	
Black	Dot	1134	0.00864	0.39734	2.76321	3.33		-0.0420210038947252	
Black	Dot	1135	0.0101	0.39632	2.45616	3.37		-0.00120719656202762	
Black	Dot	1136	0.01152	0.39556	2.14915	3.29		-0.0803933892293301	
Black	Dot	1137	0.01301	0.39505	1.84236	3.23		-0.139579581896633	
Black	Dot	1138	0.01439	0.3948	1.53491	3.08		-0.288765774563935	
Black	Dot	1139	0.01573	0.39481	1.22733	3		-0.367951967231237	
Black	Dot	1140	0.01708	0.39507	0.92161	2.94		-0.42713815989854	
Black	Dot	1141	0.01831	0.39556	0.61419	2.9		-0.466324352565842	
Black	Dot	1142	0.01961	0.39628	0.30577	3.07		-0.295510545233145	
Black	Dot	1143	0.02074	0.3972	6.28296	3.12		-0.244696737900447	
Black	Dot	1144	0.02193	0.39829	5.97701	3.16		-0.203882930567749	
Black	Dot	1145	0.02308	0.39954	5.66777	3.09		-0.273069123235052	
Black	Dot	1146	0.0241	0.4009	5.36383	2.89		-0.472255315902354	
Black	Dot	1147	0.02519	0.40235	5.05679	3.03		-0.331441508569657	
Black	Dot	1148	0.02619	0.40384	4.75309	2.99		-0.370627701236959	
Black	Dot	1149	0.02715	0.40536	4.44706	3.09		-0.269813893904262	
Black	Dot	1150	0.02809	0.40687	4.14426	3.16		-0.199000086571564	
Black	Dot	1151	0.02899	0.40836	3.84309	3.06		-0.298186279238867	
Black	Dot	1152	0.02983	0.4098	3.53794	2.97		-0.387372471906169	
Black	Dot	1153	0.03064	0.41119	3.23877	2.98		-0.376558664573471	
Black	Dot	1154	0.0314	0.41249	2.93792	2.98		-0.375744857240774	
Black	Dot	1155	0.03215	0.4137	2.63718	2.74		-0.614931049908076	
Black	Dot	1156	0.03279	0.41479	2.3393	2.86		-0.494117242575379	
Black	Dot	1157	0.0334	0.41574	2.03961	2.9		-0.453303435242681	
Black	Dot	1158	0.03404	0.41653	1.74258	2.94		-0.412489627909984	
Black	Dot	1159	0.03451	0.41713	1.44445	2.88		-0.471675820577286	
Black	Dot	1160	0.035	0.41754	1.14665	2.87		-0.480862013244588	
Black	Dot	1161	0.03543	0.41773	0.85141	2.9		-0.450048205911891	
Black	Dot	1162	0.03582	0.41768	0.5523	3		-0.349234398579193	
Black	Dot	1163	0.03611	0.41741	0.25542	3.03		-0.318420591246496	
Black	Dot	1164	0.0364	0.4169	6.24303	2.95		-0.397606783913798	
Black	Dot	1165	0.03665	0.41616	5.94235	2.95		-0.3967929765811	
Black	Dot	1166	0.03683	0.41521	5.64582	2.91		-0.435979169248403	
Black	Dot	1167	0.03698	0.41405	5.34581	2.86		-0.485165361915706	
Black	Dot	1168	0.03712	0.41272	5.04668	2.88		-0.464351554583008	
Black	Dot	1169	0.03721	0.41123	4.74558	2.88		-0.46353774725031	
Black	Dot	1170	0.03722	0.4096	4.44409	2.91		-0.432723939917613	
Black	Dot	1171	0.0373	0.40788	4.14331	3.06		-0.281910132584915	
Black	Dot	1172	0.03724	0.4061	3.83968	3.24		-0.101096325252217	
Black	Dot	1173	0.0372	0.40431	3.53566	3.1		-0.24028251791952	
Black	Dot	1174	0.03711	0.40254	3.23191	2.92		-0.419468710586823	
Black	Dot	1175	0.03699	0.40085	2.92602	2.97		-0.368654903254125	
Black	Dot	1176	0.03684	0.39929	2.61947	3.09		-0.247841095921428	
Black	Dot	1177	0.0366	0.39791	2.3122	3.04		-0.29702728858873	
Black	Dot	1178	0.03637	0.39676	2.00418	3.02		-0.316213481256032	
Black	Dot	1179	0.03616	0.3959	1.69473	3.05		-0.285399673923335	
Black	Dot	1180	0.03574	0.39534	1.38452	2.98		-0.354585866590637	
Black	Dot	1181	0.03548	0.39513	1.07485	2.88		-0.45377205925794	
Black	Dot	1182	0.03508	0.39527	0.76286	2.97		-0.362958251925242	
Black	Dot	1183	0.03467	0.39577	0.45133	3.03		-0.302144444592545	
Black	Dot	1184	0.03426	0.39662	0.13957	3.18		-0.151330637259847	
Black	Dot	1185	0.03378	0.39779	6.11197	3.14		-0.190516829927149	
Black	Dot	1186	0.03337	0.39927	5.7981	3.23		-0.0997030225944517	
Black	Dot	1187	0.03282	0.40099	5.48849	3.06		-0.268889215261754	
Black	Dot	1188	0.03233	0.40292	5.17692	2.98		-0.348075407929057	
Black	Dot	1189	0.03183	0.405	4.86552	2.94		-0.387261600596359	
Black	Dot	1190	0.03123	0.40718	4.55522	2.94		-0.386447793263661	
Black	Dot	1191	0.0307	0.40938	4.24452	3.01		-0.315633985930964	
Black	Dot	1192	0.03016	0.41156	3.93604	3.1		-0.224820178598266	
Black	Dot	1193	0.02953	0.41364	3.62457	2.95		-0.374006371265568	
Black	Dot	1194	0.02897	0.41556	3.31553	2.72		-0.603192563932871	
Black	Dot	1195	0.02835	0.41726	3.00746	2.81		-0.512378756600173	
Black	Dot	1196	0.02775	0.41869	2.69575	2.92		-0.401564949267476	
Black	Dot	1197	0.02711	0.41979	2.38628	3.09		-0.230751141934779	
Black	Dot	1198	0.02643	0.42054	2.07553	3.21		-0.109937334602081	
Black	Dot	1199	0.02585	0.42091	1.76186	3.22		-0.0991235272693831	
Black	Dot	1200	0.02512	0.42089	1.44811	3.29		-0.0283097199366857	
Black	Dot	1201	0.02448	0.42047	1.13095	3.34		0.0225040873960117	
Black	Dot	1202	0.02383	0.41966	0.81175	3.08		-0.23668210527129	
Black	Dot	1203	0.02316	0.41849	0.49001	2.88		-0.435868297938593	
Black	Dot	1204	0.02253	0.417	0.16172	2.89		-0.425054490605895	
Black	Dot	1205	0.02188	0.41521	6.11971	2.87		-0.444240683273198	
Black	Dot	1206	0.02135	0.41318	5.78363	2.87		-0.4434268759405	
Black	Dot	1207	0.02075	0.41095	5.44687	2.79		-0.522613068607803	
Black	Dot	1208	0.02021	0.4086	5.10813	2.84		-0.471799261275105	
Black	Dot	1209	0.01974	0.40617	4.76132	2.87		-0.440985453942407	
Black	Dot	1210	0.0193	0.40375	4.41286	3.01		-0.30017164660971	
Black	Dot	1211	0.01884	0.40139	4.05865	3.04		-0.269357839277012	
Black	Dot	1212	0.01852	0.39916	3.70342	3.13		-0.178544031944315	
Black	Dot	1213	0.0182	0.39715	3.34253	3.19		-0.117730224611617	
Black	Dot	1214	0.01794	0.3954	2.97599	3.22		-0.0869164172789195	
Black	Dot	1215	0.01774	0.39398	2.61207	3.28		-0.0261026099462223	
Black	Dot	1216	0.01761	0.39294	2.24219	3.28		-0.0252888026135248	
Black	Dot	1217	0.01754	0.39229	1.86818	3.23		-0.074474995280827	
Black	Dot	1218	0.01751	0.39207	1.49895	3.17		-0.13366118794813	
Black	Dot	1219	0.01759	0.39227	1.12269	3.12		-0.182847380615432	
Black	Dot	1220	0.01775	0.39288	0.75324	2.96		-0.342033573282734	
Black	Dot	1221	0.01794	0.39388	0.37799	2.91		-0.391219765950037	
Black	Dot	1222	0.01823	0.39521	0.01004	2.83		-0.470405958617339	
Black	Dot	1223	0.01862	0.39685	5.92921	2.71		-0.589592151284642	
Black	Dot	1224	0.01902	0.39872	5.56116	3.01		-0.288778343951944	
Black	Dot	1225	0.01952	0.40079	5.20463	2.98		-0.317964536619246	
Black	Dot	1226	0.02004	0.40298	4.84878	2.87		-0.427150729286549	
Black	Dot	1227	0.02069	0.40525	4.49692	2.96		-0.336336921953851	
Black	Dot	1228	0.02127	0.40754	4.15132	3.06		-0.235523114621154	
Black	Dot	1229	0.02194	0.40979	3.80768	3.14		-0.154709307288456	
Black	Dot	1230	0.02265	0.41196	3.47058	3.14		-0.153895499955758	
Black	Dot	1231	0.02332	0.414	3.13536	2.98		-0.313081692623061	
Black	Dot	1232	0.02404	0.41585	2.80244	2.87		-0.422267885290363	
Black	Dot	1233	0.02472	0.4175	2.47681	2.94		-0.351454077957666	
Black	Dot	1234	0.02547	0.41888	2.1485	2.89		-0.400640270624968	
Black	Dot	1235	0.02615	0.41999	1.8251	2.73		-0.559826463292271	
Black	Dot	1236	0.02682	0.42081	1.5042	2.82		-0.469012655959573	
Black	Dot	1237	0.02755	0.42132	1.18235	2.86		-0.428198848626876	
Black	Dot	1238	0.02824	0.42153	0.86436	2.85		-0.437385041294178	
Black	Dot	1239	0.02888	0.42145	0.54501	2.86		-0.426571233961481	
Black	Dot	1240	0.02957	0.42109	0.22995	2.85		-0.435757426628783	
Black	Dot	1241	0.03028	0.42047	6.1959	2.91		-0.374943619296085	
Black	Dot	1242	0.03088	0.41962	5.87973	3.04		-0.244129811963388	
Black	Dot	1243	0.03156	0.41854	5.56798	2.94		-0.34331600463069	
Black	Dot	1244	0.03215	0.41727	5.25225	2.88		-0.402502197297993	
Black	Dot	1245	0.03276	0.41583	4.93921	2.81		-0.471688389965295	
Black	Dot	1246	0.03333	0.41423	4.62683	2.71		-0.570874582632598	
Black	Dot	1247	0.03386	0.41249	4.31431	2.75		-0.5300607752999	
Black	Dot	1248	0.0344	0.41065	4.00239	2.74		-0.539246967967202	
Black	Dot	1249	0.03481	0.40874	3.68987	2.67		-0.608433160634505	
Black	Dot	1250	0.03525	0.40678	3.37746	2.82		-0.457619353301807	
Black	Dot	1251	0.03563	0.40481	3.06667	3		-0.27680554596911	
Black	Dot	1252	0.03591	0.40287	2.75132	3.11		-0.165991738636412	
Black	Dot	1253	0.03618	0.401	2.4395	3.16		-0.115177931303714	
Black	Dot	1254	0.03641	0.39923	2.12571	3.2		-0.0743641239710167	
Black	Dot	1255	0.03658	0.3976	1.8097	2.99		-0.283550316638319	
Black	Dot	1256	0.03669	0.39613	1.4954	2.89		-0.382736509305622	
Black	Dot	1257	0.03674	0.39485	1.17933	2.88		-0.391922701972924	
Black	Dot	1258	0.0369	0.39378	0.86286	2.97		-0.301108894640226	
Black	Dot	1259	0.03681	0.39295	0.54653	3.01		-0.260295087307529	
Black	Dot	1260	0.03682	0.39237	0.23027	2.99		-0.279481279974831	
Black	Dot	1261	0.03679	0.39207	6.19709	3.06		-0.208667472642134	
Black	Dot	1262	0.03666	0.39206	5.88043	3.03		-0.237853665309437	
Black	Dot	1263	0.03655	0.39235	5.56492	3.04		-0.227039857976739	
Black	Dot	1264	0.03635	0.39295	5.25114	3.1		-0.166226050644041	
Black	Dot	1265	0.03613	0.39386	4.93538	2.98		-0.285412243311344	
Black	Dot	1266	0.03589	0.39509	4.62267	2.94		-0.324598435978646	
Black	Dot	1267	0.03551	0.39662	4.31059	2.89		-0.373784628645948	
Black	Dot	1268	0.03521	0.39841	4.00001	2.93		-0.332970821313251	
Black	Dot	1269	0.03476	0.40045	3.68891	3.02		-0.242157013980553	
Black	Dot	1270	0.03424	0.40267	3.38094	3.18		-0.0813432066478556	
Black	Dot	1271	0.0338	0.40503	3.07361	3.18		-0.0805293993151581	
Black	Dot	1272	0.03315	0.40748	2.76672	3.02		-0.239715591982461	
Black	Dot	1273	0.03256	0.40997	2.46078	2.8		-0.458901784649763	
Black	Dot	1274	0.03189	0.41243	2.15696	2.68		-0.578087977317065	
Black	Dot	1275	0.0312	0.41482	1.85332	2.64		-0.617274169984368	
Black	Dot	1276	0.03048	0.41708	1.54882	2.63		-0.62646036265167	
Black	Dot	1277	0.02968	0.41917	1.24864	2.87		-0.385646555318973	
Black	Dot	1278	0.02894	0.42104	0.94557	2.85		-0.404832747986275	
Black	Dot	1279	0.02813	0.42264	0.64532	2.71		-0.544018940653578	
Black	Dot	1280	0.02727	0.42394	0.34575	2.76		-0.49320513332088	
Black	Dot	1281	0.02642	0.42489	0.04483	2.96		-0.292391325988183	
Black	Dot	1282	0.02556	0.42546	6.03063	3.01		-0.241577518655485	
Black	Dot	1283	0.02464	0.42562	5.72903	3.08		-0.170763711322787	
Black	Dot	1284	0.02371	0.42536	5.43241	3.13		-0.11994990399009	
Black	Dot	1285	0.02276	0.42466	5.13415	3.12		-0.129136096657392	
Black	Dot	1286	0.02178	0.42355	4.83193	2.85		-0.398322289324695	
Black	Dot	1287	0.02074	0.42202	4.53473	2.85		-0.397508481991997	
