:			-	-	
			A	B	
Black	Dot	156	0.474	3.95	
Black	Dot	157	0.477	3.84	
Black	Dot	158	0.48	3.85	
Black	Dot	159	0.483	3.87	
Black	Dot	160	0.486	4.09	
Black	Dot	161	0.489	4.23	
Black	Dot	162	0.492	4.25	
Black	Dot	163	0.495	4.15	
Black	Dot	164	0.498	3.98	
Black	Dot	165	0.501	4.06	
Black	Dot	166	0.504	4.33	
Black	Dot	167	0.507	4.64	
Black	Dot	168	0.51	4.42	
Black	Dot	169	0.513	4.41	
Black	Dot	170	0.516	4.31	
Black	Dot	171	0.519	4.31	
Black	Dot	172	0.522	4.32	
Black	Dot	173	0.525	4.45	
Black	Dot	174	0.528	4.5	
Black	Dot	175	0.531	4.62	
Black	Dot	176	0.543	4.53	
Black	Dot	177	0.546	4.27	
Black	Dot	178	0.549	4.23	
Black	Dot	179	0.552	4.01	
Black	Dot	180	0.555	3.94	
Black	Dot	181	0.558	3.77	
Black	Dot	182	0.561	3.73	
Black	Dot	183	0.564	3.69	
Black	Dot	184	0.567	3.58	
Black	Dot	185	0.57	3.62	
Black	Dot	186	0.573	3.67	
Black	Dot	187	0.576	3.91	
Black	Dot	188	0.579	4.05	
Black	Dot	189	0.582	4.09	
Black	Dot	190	0.585	4.17	
Black	Dot	191	0.597	4.1	
Black	Dot	192	0.6	4.19	
Black	Dot	193	0.603	4.04	
Black	Dot	194	0.606	4.14	
Black	Dot	195	0.609	3.92	
Black	Dot	196	0.612	3.74	
Black	Dot	197	0.615	3.78	
Black	Dot	198	0.618	3.88	
Black	Dot	199	0.621	4.38	
Black	Dot	200	0.624	4.64	
Black	Dot	201	0.627	5	
Black	Dot	202	0.63	5.09	
Black	Dot	203	0.633	4.82	
Black	Dot	204	0.636	4.92	
Black	Dot	205	0.639	5.02	
Black	Dot	206	0.642	4.96	
Black	Dot	207	0.645	4.84	
Black	Dot	208	0.648	4.88	
Black	Dot	209	0.651	4.9	
Black	Dot	210	0.654	4.81	
Black	Dot	211	0.657	4.78	
Black	Dot	212	0.66	4.77	
Black	Dot	213	0.663	4.7	
Black	Dot	214	0.666	4.7	
Black	Dot	215	0.669	4.81	
Black	Dot	216	0.672	4.51	
Black	Dot	217	0.675	4.55	
Black	Dot	218	0.678	4.5	
Black	Dot	219	0.681	4.44	
Black	Dot	220	0.684	4.21	
Black	Dot	221	0.687	4	
Black	Dot	222	0.69	3.81	
Black	Dot	223	0.693	3.94	
Black	Dot	224	0.696	4.01	
Black	Dot	225	0.699	4.15	
Black	Dot	226	0.702	4.28	
