Peaks found on 2018-10-20 11:59:16.495941

Number    Wavelength 
0  5563.349798497655
1  5915.456963102682
2  6288.685642057487
3  6580.162092066202
4  6580.163603031293
5  6664.5307915191
6  6806.714584950952
7  7262.346898607335
8  7443.541293626655
9  7598.732676080796
10  7598.798072081543
11  7661.646787584492
12  7709.165179286493
13  7749.402517212005
14  7818.011195154275
15  7902.746846102655
16  8279.245442038706
17  8338.008399365319
18  8543.327242642968
19  8581.223318734397
20  8753.42507005321
21  8755.502829971154
22  8837.655928642731
23  8837.754614412455
24  8837.754619824504
25  8884.426127238472
26  8920.269561802734
27  8957.835082197309
28  8957.835365965317
29  8997.097259568453
30  9314.881017377771
31  9314.94127350101
32  9325.650395711124
33  9326.437438083343
