Peaks found on 2018-10-20 11:45:55.824467

Number    Wavelength 
0  4981.719350560811
1  5567.438923050188
2  5579.318346945213
3  5892.250148650868
4  6270.350435489644
5  6300.051010755669
6  6363.637609196239
7  6363.637612837234
8  6482.211088592658
9  7243.590856323975
10  7243.594009840935
11  7277.397099454974
12  7277.39711715145
13  7318.314060740352
14  7330.577631311133
15  7331.133987804271
16  7371.018424055905
17  7371.018424865543
18  7403.554204590325
19  7525.896051569629
20  7573.235411064422
21  7599.5353389759
22  7602.002173375769
23  7716.521782640653
24  7716.521925067194
25  7752.898960181264
26  7757.258297968836
27  7795.494056191244
28  7822.63650071027
29  7853.967719091164
30  7871.532721652039
31  7915.055193297078
32  7949.429896119438
33  7965.1323667280985
34  7993.860427194534
35  8298.259805361964
36  8298.70297555555
37  8344.771752095114
38  8364.761075667384
39  8382.58062849959
40  8399.085432409442
41  8415.05213770857
42  8430.083426477977
43  8452.53028670322
44  8465.837482049432
45  8505.074498400518
46  8662.040356590034
47  8733.028676851389
48  8740.989760861648
49  8751.75469998868
50  8751.75487193433
51  8779.196933359206
52  8779.271432703947
53  8828.617554614404
54  8828.625219810929
55  8869.195775838423
56  8886.466271168856
57  8891.226094079511
58  8921.67966348202
59  8931.84987439006
60  8959.520528240604
61  9002.77168472061
62  9039.17915535739
63  9050.322949642368
64  9115.059065995221
65  9304.479064789573
66  9312.00809478907
67  9316.864451321688
68  9324.768043090096
69  9325.581418939522
