Peaks found on 2018-10-20 10:48:24.895117

Number    Wavelength 
0  5573.814092752799
1  6200.555400902223
2  6258.428706002402
3  6301.967483059371
4  6326.960843698967
5  6360.088525127977
6  7274.943182907783
7  7362.432124744338
8  7777.512647051317
9  7791.59719477227
10  7817.327719014527
11  7910.778383404691
12  7911.829848261247
13  7960.1720458824175
14  7987.3210679931235
15  7992.251089768582
16  8019.026648855376
17  8023.999282686468
18  8277.985244167185
19  8304.643416066496
20  8342.647530773944
21  8342.648087065909
22  8343.000207411515
23  8364.088078903429
24  8397.63323838969
25  8415.34870808164
26  8420.950912676419
27  8427.185911843992
28  8492.81396161403
29  8669.814601806533
30  8674.456001861414
31  8693.320793367957
32  8694.54517822454
33  8751.312871366319
34  8753.60836483106
35  8756.501841047699
36  8761.99542562583
37  8781.36068795778
38  8781.364127277011
39  8795.826573869439
40  8809.473048827766
41  8818.98531229659
42  8825.223767814663
43  8839.784853203562
44  8839.784874885056
45  8884.052015845973
46  8884.05543707476
47  8940.580260118679
48  8955.802868010727
49  8955.802897347949
50  8987.083536361113
51  9031.602982106328
52  9037.822541414454
53  9305.338092958851
54  9315.104071784559
55  9325.339850153492
56  9325.341326283244
57  9336.480054614816
