Peaks found on 2018-10-21 10:11:37.066936

Number    Wavelength 
0  5579.347904744915
1  6288.849730196821
2  6365.213925669412
3  7238.7438291464305
4  7274.857147929141
5  7356.216312130596
6  7523.1302352464845
7  7557.65879520442
8  7711.221763203176
9  7711.224372518599
10  7749.905956125687
11  7792.9769904531495
12  7820.357674294126
13  7851.9125705111555
14  7912.501981105109
15  7963.341623878459
16  7991.942082122375
17  8342.979583619037
18  8342.979604897293
19  8342.979633027917
20  8377.64284231748
21  8397.659984648555
22  8413.883845896604
23  8428.909025276134
24  8431.38557759408
25  8453.84242888527
26  8503.243517074421
27  8648.840215419914
28  8653.947474057093
29  8759.186998930749
30  8766.467978314733
31  8766.468561619015
32  8779.375905538263
33  8825.278592832476
34  8825.279808498097
35  8825.28519912735
36  8837.738826446377
37  8854.354683921501
38  8866.471081711376
39  8884.082675813017
40  8911.02124139931
41  8917.821781335128
42  8917.83363806759
43  8956.531582485477
44  8959.084837773156
45  9000.261833214787
46  9000.26184406815
47  9298.160261297058
48  9311.338731283835
49  9311.38061555136
50  9324.431856074598
