Peaks found on 2018-10-22 14:46:14.695329

Number    Wavelength 
0  5578.116467145516
1  5879.257506095936
2  6213.396917878065
3  6213.399643626125
4  6290.437938065693
5  6357.226444213102
6  6829.730683125064
7  7184.06871431741
8  7277.622541261812
9  7336.586732438216
10  7715.27889531109
11  7750.970045802959
12  7820.882988809214
13  7852.779393486007
14  7913.007721353891
15  7964.742805500507
16  7992.901362199034
17  8103.193849489604
18  8103.195564264722
19  8266.894503944388
20  8298.046762108024
21  8345.405647948328
22  8345.548533525793
23  8345.549329835094
24  8398.871049066936
25  8430.189805048461
26  8466.33851876493
27  8767.704379607852
28  8824.260779007776
29  8825.828669881883
30  8825.836782438188
31  8879.575741569337
32  8889.602960478596
33  8921.127631208527
34  8944.99465917105
35  8957.264259321248
36  8959.890896748939
37  9002.316289028015
38  9027.772488441227
39  9039.325965918213
40  9316.12036971414
