Peaks found on 2018-10-20 10:47:45.577192

Number    Wavelength 
0  5571.114719672461
1  5577.987138984724
2  5890.603091324361
3  5891.321838660521
4  6206.314016025303
5  6206.315148919588
6  6298.309430240862
7  6298.311818598986
8  6352.512654048285
9  6440.548107966724
10  6569.116701344273
11  6862.54440728906
12  7226.874222650534
13  7234.553389976017
14  7275.416997284477
15  7318.254801533551
16  7342.844344262397
17  7692.180690177897
18  7759.4377606961425
19  7794.982799503253
20  7854.468467310798
21  7912.714828769628
22  7964.469839591644
23  7983.482642566589
24  8013.765730736153
25  8094.071827788497
26  8257.39714238771
27  8257.397187562403
28  8278.718883644546
29  8290.864834472977
30  8336.877269828867
31  8336.923373200758
32  8344.341172955934
33  8346.963436240954
34  8390.94061584559
35  8456.62980226529
36  8457.32010365123
37  8644.89904764757
38  8751.854581084186
39  8774.269014601537
40  8828.975934399185
41  8832.476008828511
42  8923.441123062645
43  8961.456238577917
44  8982.572250672965
45  8989.23777433259
46  9315.746298792359
