Peaks found on 2018-10-22 14:48:33.932374

Number    Wavelength 
0  5575.548137702314
1  5683.524695982976
2  6055.472378381067
3  6264.462428606075
4  6336.049089534602
5  7412.205104054936
6  7560.470028317346
7  7633.836604309398
8  7633.837229405807
9  7722.926802226535
10  7794.823696215353
11  7819.764648741168
12  7914.760519841474
13  7916.1160808994755
14  7952.433264165039
15  7964.998928861278
16  7982.766792855667
17  7987.467830660509
18  8285.038381865146
19  8299.972711243403
20  8342.655428627164
21  8342.662853157177
22  8342.937385562269
23  8397.619367546178
24  8401.976602354365
25  8405.921716714185
26  8413.545218528028
27  8415.994553916074
28  8428.50468238385
29  8450.935120493454
30  8456.130008011214
31  8463.416929643234
32  8647.038841333328
33  8761.496260049642
34  8761.498707469975
35  8761.835154181834
36  8778.874782725825
37  8781.252231768329
38  8784.746473953548
39  8787.806787561203
40  8812.760799786653
41  8827.631332150035
42  8836.575358197977
43  8853.083437720239
44  8858.289655111868
45  8886.425651362219
46  8886.426121060105
47  8888.72152517403
48  8894.134882857938
49  8906.350510044971
50  8920.105927605586
51  8930.787246619153
52  8941.542503782634
53  8949.019149992046
54  8958.309264694633
55  8981.098771392784
56  8999.070230094301
57  8999.07044718227
58  9040.899353982253
59  9305.64102101357
60  9315.540179607848
61  9315.540273364106
62  9325.622218101153
