Freq	Power	Theor.AR(1)	chi2 80%	chi2 90%	chi2 95%	chi2 99%	chi2 crit.
8.7991	0.00049499	0.0024526	0.0037687	0.0050317	0.0062538	0.0090021	0.013306
8.9213	0.00016541	0.002411	0.0037048	0.0049465	0.0061479	0.0088496	0.01308
9.0435	0.0010138	0.0023704	0.0036423	0.004863	0.0060441	0.0087003	0.01286
9.1657	0.00055909	0.0023305	0.003581	0.0047812	0.0059425	0.0085539	0.012643
9.2879	0.0045366	0.0022914	0.003521	0.0047011	0.0058429	0.0084106	0.012432
9.4101	0.0061907	0.0022532	0.0034623	0.0046226	0.0057454	0.0082702	0.012224
9.5323	0.0012805	0.0022157	0.0034047	0.0045458	0.0056499	0.0081327	0.012021
9.6546	0.0027353	0.002179	0.0033483	0.0044705	0.0055563	0.0079981	0.011822
9.7768	0.0039576	0.0021431	0.0032931	0.0043968	0.0054647	0.0078662	0.011627
9.899	0.00088855	0.0021079	0.003239	0.0043246	0.0053749	0.007737	0.011436
10.021	0.0020185	0.0020734	0.0031861	0.0042538	0.005287	0.0076105	0.011249
10.143	0.0031247	0.0020397	0.0031342	0.0041846	0.005201	0.0074866	0.011066
10.266	0.002503	0.0020066	0.0030834	0.0041168	0.0051167	0.0073652	0.010886
10.388	0.006815	0.0019742	0.0030336	0.0040503	0.0050341	0.0072464	0.010711
10.51	0.0056407	0.0019425	0.0029849	0.0039853	0.0049532	0.00713	0.010539
10.632	0.0029966	0.0019115	0.0029372	0.0039216	0.004874	0.007016	0.01037
10.754	0.0021678	0.0018811	0.0028904	0.0038592	0.0047965	0.0069043	0.010205
10.877	0.0025971	0.0018513	0.0028447	0.003798	0.0047205	0.006795	0.010044
10.999	0.0044306	0.0018221	0.0027998	0.0037382	0.0046461	0.0066879	0.0098852
11.121	0.0026782	0.0017935	0.0027559	0.0036796	0.0045733	0.006583	0.0097302
11.243	0.00068989	0.0017655	0.0027129	0.0036221	0.0045019	0.0064803	0.0095783
11.365	0.0021777	0.0017381	0.0026708	0.0035659	0.004432	0.0063796	0.0094296
11.488	0.0032111	0.0017112	0.0026295	0.0035108	0.0043635	0.006281	0.0092838
11.61	0.0020783	0.0016849	0.0025891	0.0034568	0.0042964	0.0061845	0.0091411
11.732	0.00048246	0.0016592	0.0025495	0.0034039	0.0042306	0.0060898	0.0090013
11.854	0.00032255	0.0016339	0.0025107	0.0033521	0.0041663	0.0059972	0.0088643
11.977	0.00020593	0.0016092	0.0024726	0.0033013	0.0041032	0.0059063	0.00873
12.099	0.00017128	0.0015849	0.0024354	0.0032516	0.0040414	0.0058174	0.0085985
12.221	0.00055322	0.0015612	0.0023989	0.0032029	0.0039808	0.0057302	0.0084696
12.343	0.00053882	0.0015379	0.0023631	0.0031551	0.0039214	0.0056447	0.0083434
12.465	0.00043493	0.0015151	0.0023281	0.0031083	0.0038633	0.005561	0.0082196
12.588	0.0020881	0.0014927	0.0022937	0.0030625	0.0038063	0.005479	0.0080983
12.71	0.002816	0.0014708	0.0022601	0.0030175	0.0037504	0.0053986	0.0079795
12.832	0.0016661	0.0014493	0.0022271	0.0029735	0.0036957	0.0053197	0.007863
12.954	0.0018743	0.0014283	0.0021947	0.0029303	0.003642	0.0052425	0.0077488
13.076	0.0020233	0.0014077	0.002163	0.002888	0.0035894	0.0051668	0.0076369
13.199	0.0032313	0.0013874	0.0021319	0.0028465	0.0035378	0.0050925	0.0075271
13.321	0.0034643	0.0013676	0.0021015	0.0028058	0.0034872	0.0050197	0.0074196
13.443	0.0018805	0.0013482	0.0020716	0.0027659	0.0034377	0.0049484	0.0073141
13.565	0.0014592	0.0013291	0.0020423	0.0027268	0.0033891	0.0048784	0.0072107
13.687	0.00070303	0.0013104	0.0020136	0.0026884	0.0033414	0.0048098	0.0071093
13.81	0.0011442	0.0012921	0.0019854	0.0026508	0.0032947	0.0047425	0.0070098
13.932	0.0013746	0.0012741	0.0019578	0.0026139	0.0032488	0.0046765	0.0069123
14.054	0.0011954	0.0012565	0.0019307	0.0025778	0.0032038	0.0046118	0.0068166
14.176	0.00073767	0.0012392	0.0019041	0.0025423	0.0031597	0.0045483	0.0067228
14.299	0.00029114	0.0012222	0.001878	0.0025075	0.0031165	0.004486	0.0066307
14.421	0.0016221	0.0012056	0.0018525	0.0024733	0.003074	0.004425	0.0065404
14.543	0.00075659	0.0011892	0.0018274	0.0024398	0.0030324	0.004365	0.0064518
14.665	0.0012199	0.0011732	0.0018028	0.0024069	0.0029915	0.0043062	0.0063649
14.787	0.0005846	0.0011575	0.0017786	0.0023747	0.0029515	0.0042485	0.0062796
14.91	0.00048112	0.0011421	0.0017549	0.002343	0.0029121	0.0041919	0.0061959
15.032	0.00041309	0.0011269	0.0017316	0.002312	0.0028735	0.0041363	0.0061138
15.154	2.7396E-05	0.0011121	0.0017088	0.0022815	0.0028356	0.0040818	0.0060332
15.276	0.00047816	0.0010975	0.0016864	0.0022516	0.0027984	0.0040282	0.005954
15.398	0.0010173	0.0010832	0.0016644	0.0022222	0.0027619	0.0039757	0.0058763
15.521	0.00048397	0.0010691	0.0016428	0.0021934	0.0027261	0.0039241	0.0058001
15.643	0.00028553	0.0010553	0.0016216	0.002165	0.0026909	0.0038734	0.0057252
15.765	9.5126E-05	0.0010418	0.0016008	0.0021373	0.0026564	0.0038237	0.0056517
15.887	0.00063306	0.0010285	0.0015803	0.00211	0.0026224	0.0037749	0.0055796
16.009	0.00031015	0.0010154	0.0015603	0.0020832	0.0025891	0.0037269	0.0055087
16.132	0.00038326	0.0010026	0.0015405	0.0020568	0.0025564	0.0036798	0.0054391
16.254	0.0002522	0.00098996	0.0015212	0.002031	0.0025243	0.0036336	0.0053707
16.376	0.00043266	0.00097758	0.0015022	0.0020056	0.0024927	0.0035882	0.0053036
16.498	0.00061923	0.00096543	0.0014835	0.0019807	0.0024617	0.0035436	0.0052376
16.62	0.00044414	0.00095348	0.0014651	0.0019562	0.0024313	0.0034997	0.0051729
16.743	0.00057241	0.00094175	0.0014471	0.0019321	0.0024014	0.0034567	0.0051092
16.865	0.00014517	0.00093023	0.0014294	0.0019084	0.002372	0.0034143	0.0050467
16.987	0.00018616	0.0009189	0.001412	0.0018852	0.0023431	0.0033728	0.0049852
17.109	0.00049098	0.00090777	0.0013949	0.0018624	0.0023147	0.0033319	0.0049248
17.232	0.00025957	0.00089683	0.0013781	0.0018399	0.0022868	0.0032918	0.0048655
17.354	0.0003301	0.00088608	0.0013616	0.0018179	0.0022594	0.0032523	0.0048072
17.476	0.00040199	0.00087552	0.0013453	0.0017962	0.0022325	0.0032135	0.0047499
17.598	0.0011363	0.00086513	0.0013294	0.0017749	0.002206	0.0031754	0.0046935
17.72	0.0013963	0.00085492	0.0013137	0.001754	0.00218	0.003138	0.0046381
17.843	0.0021546	0.00084489	0.0012983	0.0017334	0.0021544	0.0031011	0.0045837
17.965	0.003044	0.00083502	0.0012831	0.0017131	0.0021292	0.0030649	0.0045302
18.087	0.0025795	0.00082532	0.0012682	0.0016932	0.0021045	0.0030293	0.0044775
18.209	0.0017536	0.00081578	0.0012535	0.0016736	0.0020801	0.0029943	0.0044258
18.331	0.00066706	0.0008064	0.0012391	0.0016544	0.0020562	0.0029598	0.0043749
18.454	0.00064031	0.00079717	0.0012249	0.0016355	0.0020327	0.002926	0.0043248
18.576	0.0017255	0.00078809	0.001211	0.0016168	0.0020096	0.0028927	0.0042756
18.698	0.0022457	0.00077917	0.0011973	0.0015985	0.0019868	0.0028599	0.0042272
18.82	0.00083331	0.00077039	0.0011838	0.0015805	0.0019644	0.0028277	0.0041795
18.942	0.0012878	0.00076175	0.0011705	0.0015628	0.0019424	0.002796	0.0041327
19.065	0.00044296	0.00075325	0.0011575	0.0015454	0.0019207	0.0027648	0.0040866
19.187	0.00046702	0.00074489	0.0011446	0.0015282	0.0018994	0.0027341	0.0040412
19.309	0.00037748	0.00073667	0.001132	0.0015113	0.0018784	0.0027039	0.0039966
19.431	0.00061481	0.00072857	0.0011195	0.0014947	0.0018578	0.0026742	0.0039527
19.554	0.00042582	0.00072061	0.0011073	0.0014784	0.0018375	0.002645	0.0039095
19.676	0.00097019	0.00071277	0.0010952	0.0014623	0.0018175	0.0026162	0.0038669
19.798	0.001058	0.00070505	0.0010834	0.0014465	0.0017978	0.0025879	0.0038251
19.92	0.00023216	0.00069746	0.0010717	0.0014309	0.0017784	0.00256	0.0037839
20.042	2.6938E-05	0.00068998	0.0010602	0.0014156	0.0017594	0.0025325	0.0037433
20.165	0.00015582	0.00068262	0.0010489	0.0014005	0.0017406	0.0025055	0.0037034
20.287	0.00034427	0.00067538	0.0010378	0.0013856	0.0017221	0.0024789	0.0036641
20.409	0.00042682	0.00066824	0.0010268	0.001371	0.0017039	0.0024528	0.0036254
20.531	0.00015056	0.00066122	0.001016	0.0013566	0.001686	0.002427	0.0035873
20.653	0.00029615	0.00065431	0.0010054	0.0013424	0.0016684	0.0024016	0.0035497
20.776	0.00052003	0.00064749	0.00099495	0.0013284	0.001651	0.0023766	0.0035128
20.898	0.00035375	0.00064079	0.00098464	0.0013146	0.0016339	0.002352	0.0034764
21.02	0.00045146	0.00063418	0.00097449	0.0013011	0.0016171	0.0023277	0.0034406
21.142	0.00017625	0.00062768	0.00096449	0.0012877	0.0016005	0.0023039	0.0034053
21.264	0.00035171	0.00062127	0.00095464	0.0012746	0.0015842	0.0022803	0.0033705
21.387	0.00094708	0.00061495	0.00094494	0.0012616	0.0015681	0.0022572	0.0033363
21.509	0.00080678	0.00060874	0.00093539	0.0012489	0.0015522	0.0022343	0.0033025
21.631	0.0013528	0.00060261	0.00092597	0.0012363	0.0015366	0.0022118	0.0032693
21.753	0.00144	0.00059657	0.0009167	0.0012239	0.0015212	0.0021897	0.0032365
21.876	0.00059549	0.00059062	0.00090756	0.0012117	0.001506	0.0021679	0.0032043
21.998	0.00054233	0.00058476	0.00089855	0.0011997	0.0014911	0.0021463	0.0031725
22.12	0.0009847	0.00057899	0.00088968	0.0011878	0.0014764	0.0021252	0.0031411
22.242	0.0010405	0.0005733	0.00088093	0.0011762	0.0014618	0.0021043	0.0031103
22.364	0.00099425	0.00056769	0.00087231	0.0011647	0.0014475	0.0020837	0.0030798
22.487	0.00067306	0.00056216	0.00086382	0.0011533	0.0014334	0.0020634	0.0030498
22.609	0.00047332	0.00055671	0.00085544	0.0011421	0.0014195	0.0020434	0.0030203
22.731	0.00039231	0.00055134	0.00084719	0.0011311	0.0014058	0.0020237	0.0029911
22.853	0.00011187	0.00054604	0.00083905	0.0011203	0.0013923	0.0020042	0.0029624
22.975	0.00098844	0.00054082	0.00083103	0.0011095	0.001379	0.0019851	0.0029341
23.098	0.001405	0.00053567	0.00082312	0.001099	0.0013659	0.0019662	0.0029061
23.22	0.00046572	0.0005306	0.00081532	0.0010886	0.001353	0.0019475	0.0028786
23.342	0.00047209	0.0005256	0.00080763	0.0010783	0.0013402	0.0019292	0.0028515
23.464	0.00020463	0.00052066	0.00080005	0.0010682	0.0013276	0.0019111	0.0028247
23.586	0.00017491	0.0005158	0.00079258	0.0010582	0.0013152	0.0018932	0.0027983
23.709	0.00022003	0.000511	0.0007852	0.0010484	0.001303	0.0018756	0.0027723
23.831	0.00095386	0.00050627	0.00077793	0.0010387	0.0012909	0.0018582	0.0027466
23.953	0.0026358	0.0005016	0.00077076	0.0010291	0.001279	0.0018411	0.0027213
24.075	0.0046688	0.00049699	0.00076368	0.0010196	0.0012673	0.0018242	0.0026963
24.197	0.016791	0.00049245	0.00075671	0.0010103	0.0012557	0.0018075	0.0026717
24.32	0.031242	0.00048797	0.00074982	0.0010011	0.0012443	0.0017911	0.0026474
24.442	0.015959	0.00048355	0.00074303	0.00099205	0.001233	0.0017749	0.0026234
24.564	0.0023415	0.00047919	0.00073633	0.00098311	0.0012219	0.0017589	0.0025997
24.686	0.0077246	0.00047489	0.00072972	0.00097428	0.0012109	0.0017431	0.0025764
24.809	0.0031432	0.00047065	0.0007232	0.00096558	0.0012001	0.0017275	0.0025534
24.931	0.00024073	0.00046646	0.00071676	0.00095698	0.0011894	0.0017121	0.0025306
25.053	0.003313	0.00046233	0.00071041	0.00094851	0.0011789	0.0016969	0.0025082
25.175	0.0065067	0.00045825	0.00070415	0.00094014	0.0011685	0.001682	0.0024861
25.297	0.002114	0.00045422	0.00069796	0.00093188	0.0011582	0.0016672	0.0024643
25.42	0.00037629	0.00045025	0.00069186	0.00092373	0.0011481	0.0016526	0.0024427
25.542	0.001052	0.00044633	0.00068584	0.00091569	0.0011381	0.0016382	0.0024214
25.664	0.00090674	0.00044246	0.00067989	0.00090775	0.0011282	0.001624	0.0024004
25.786	0.0012531	0.00043864	0.00067402	0.00089991	0.0011185	0.00161	0.0023797
25.908	0.00043744	0.00043487	0.00066823	0.00089218	0.0011089	0.0015962	0.0023593
26.031	0.00024859	0.00043115	0.00066251	0.00088454	0.0010994	0.0015825	0.0023391
26.153	0.00035716	0.00042747	0.00065686	0.000877	0.00109	0.001569	0.0023191
26.275	0.00029174	0.00042385	0.00065129	0.00086956	0.0010808	0.0015557	0.0022995
26.397	0.00048936	0.00042027	0.00064578	0.00086221	0.0010716	0.0015426	0.00228
26.519	0.00079274	0.00041673	0.00064035	0.00085496	0.0010626	0.0015296	0.0022608
26.642	0.00054279	0.00041324	0.00063498	0.00084779	0.0010537	0.0015168	0.0022419
26.764	0.00023151	0.00040979	0.00062968	0.00084072	0.0010449	0.0015041	0.0022232
26.886	0.00053681	0.00040638	0.00062445	0.00083373	0.0010362	0.0014916	0.0022047
27.008	0.00090145	0.00040302	0.00061928	0.00082683	0.0010277	0.0014793	0.0021865
27.131	0.00047057	0.0003997	0.00061418	0.00082002	0.0010192	0.0014671	0.0021684
27.253	0.00035449	0.00039642	0.00060914	0.00081329	0.0010108	0.001455	0.0021507
27.375	0.00060146	0.00039318	0.00060416	0.00080664	0.0010026	0.0014431	0.0021331
27.497	0.00079285	0.00038998	0.00059924	0.00080007	0.0009944	0.0014314	0.0021157
27.619	0.00086618	0.00038682	0.00059439	0.00079359	0.00098634	0.0014198	0.0020986
