Time (Myr BP)	Eccentricity	Obliquity (radians)	Perihelion longitude (radians)	Precessional index
0	0.0167	0.40909	1.79626	0.01628
0.001	0.01716	0.41135	1.49793	0.01712
0.002	0.0175	0.41355	1.20002	0.01631
0.003	0.01785	0.41564	0.90349	0.01402
0.004	0.01821	0.41755	0.61138	0.01045
0.005	0.01845	0.41925	0.31554	0.00573
0.006	0.01875	0.42067	0.02457	0.00046
0.007	0.01894	0.42178	6.01864	-0.00495
0.008	0.01918	0.42254	5.72724	-0.01012
0.009	0.01933	0.42292	5.43836	-0.01445
0.01	0.01942	0.42291	5.15337	-0.01757
0.011	0.0196	0.42249	4.86346	-0.01937
0.012	0.01961	0.42166	4.57943	-0.01944
0.013	0.01965	0.42044	4.29235	-0.01794
0.014	0.01968	0.41883	4.00845	-0.015
0.015	0.01963	0.41689	3.72275	-0.01078
0.016	0.01956	0.41463	3.43673	-0.00569
0.017	0.01949	0.41212	3.15396	-0.00024
0.018	0.01935	0.40941	2.86764	0.00523
0.019	0.01922	0.40658	2.5814	0.01021
0.02	0.019	0.40368	2.29839	0.01419
0.021	0.01884	0.4008	2.01122	0.01704
0.022	0.01862	0.39803	1.72591	0.01839
0.023	0.01834	0.39543	1.44053	0.01819
0.024	0.01809	0.3931	1.15533	0.01656
0.025	0.01787	0.39111	0.87127	0.01367
0.026	0.01751	0.38951	0.58474	0.00966
0.027	0.01728	0.38837	0.30568	0.0052
0.028	0.01697	0.38772	0.02273	0.00039
0.029	0.01665	0.38759	6.0259	-0.00424
0.03	0.01637	0.38798	5.75116	-0.0083
0.031	0.01605	0.3889	5.47744	-0.01157
0.032	0.01578	0.3903	5.20339	-0.01391
0.033	0.01545	0.39215	4.93958	-0.01505
0.034	0.01517	0.39439	4.67381	-0.01516
0.035	0.01494	0.39696	4.41376	-0.01428
0.036	0.01465	0.39978	4.15736	-0.01245
0.037	0.01442	0.40277	3.90472	-0.00997
0.038	0.01427	0.40585	3.65779	-0.00704
0.039	0.01404	0.40894	3.40994	-0.00372
0.04	0.01393	0.41197	3.17019	-0.0004
0.041	0.01382	0.41485	2.93298	0.00286
0.042	0.01374	0.41753	2.69392	0.00595
0.043	0.01372	0.41994	2.46169	0.00863
0.044	0.01371	0.42203	2.23215	0.01082
0.045	0.01379	0.42375	1.99568	0.01257
0.046	0.01384	0.42507	1.76867	0.01357
0.047	0.01399	0.42597	1.53722	0.01398
0.048	0.01418	0.42644	1.30406	0.01368
0.049	0.01439	0.42646	1.07356	0.01264
0.05	0.0146	0.42606	0.8369	0.01084
0.051	0.01496	0.42524	0.60469	0.0085
0.052	0.01522	0.42403	0.3639	0.00542
0.053	0.01557	0.42246	0.12432	0.00193
0.054	0.01596	0.42058	6.16729	-0.00185
0.055	0.01633	0.41843	5.9195	-0.00581
0.056	0.01674	0.41606	5.67114	-0.00962
0.057	0.01716	0.41352	5.42431	-0.01299
0.058	0.01761	0.41087	5.16631	-0.01582
0.059	0.01804	0.40818	4.91243	-0.01768
0.06	0.01847	0.40549	4.65393	-0.01844
0.061	0.01898	0.40287	4.39178	-0.01802
0.062	0.01942	0.40037	4.12845	-0.0162
0.063	0.01986	0.39804	3.86288	-0.01312
0.064	0.02039	0.39594	3.5942	-0.00892
0.065	0.02082	0.39411	3.32538	-0.00381
0.066	0.02131	0.39257	3.05122	0.00192
0.067	0.02179	0.39137	2.78061	0.0077
0.068	0.02229	0.39053	2.50454	0.01326
0.069	0.02278	0.39005	2.22812	0.01803
0.07	0.02328	0.38993	1.9537	0.02159
0.071	0.02379	0.39019	1.6757	0.02366
0.072	0.02435	0.39079	1.39788	0.02398
0.073	0.02481	0.39173	1.12188	0.02235
0.074	0.02541	0.39297	0.84431	0.01899
0.075	0.02595	0.39449	0.56667	0.01393
0.076	0.02647	0.39625	0.29097	0.00759
0.077	0.02708	0.39821	0.01426	0.00039
0.078	0.02765	0.40033	6.02276	-0.00712
0.079	0.02821	0.40257	5.74601	-0.01444
0.08	0.0288	0.40488	5.47303	-0.02087
0.081	0.0294	0.40723	5.19918	-0.02599
0.082	0.02999	0.40956	4.92382	-0.02932
0.083	0.03058	0.41184	4.65287	-0.03053
0.084	0.03116	0.41403	4.37933	-0.02945
0.085	0.0318	0.41607	4.1064	-0.02614
0.086	0.03235	0.41793	3.83439	-0.02066
0.087	0.03294	0.41959	3.56244	-0.01346
0.088	0.0336	0.42099	3.28983	-0.00496
0.089	0.03411	0.42212	3.01758	0.00422
0.09	0.03474	0.42294	2.74496	0.01342
0.091	0.03532	0.42345	2.47331	0.02189
0.092	0.03588	0.42362	2.19852	0.02904
0.093	0.03645	0.42344	1.9259	0.03417
0.094	0.037	0.42291	1.65199	0.03688
0.095	0.03754	0.42203	1.3752	0.03682
0.096	0.03809	0.42081	1.10037	0.03395
0.097	0.03855	0.41927	0.82258	0.02826
0.098	0.03914	0.41744	0.54451	0.02028
0.099	0.03958	0.41535	0.26471	0.01036
0.1	0.04006	0.41303	6.26696	-0.00065
0.101	0.04056	0.41054	5.98569	-0.01189
0.102	0.04096	0.40793	5.70136	-0.02251
0.103	0.04138	0.40527	5.41588	-0.03155
0.104	0.04177	0.40262	5.13102	-0.03816
0.105	0.04212	0.40004	4.8408	-0.04178
0.106	0.04245	0.39762	4.55191	-0.04191
0.107	0.04272	0.39542	4.26103	-0.03844
0.108	0.04303	0.3935	3.96815	-0.03165
0.109	0.04325	0.39192	3.67443	-0.02197
0.11	0.04342	0.39074	3.38049	-0.01027
0.111	0.04365	0.39	3.08503	0.00247
0.112	0.04373	0.38972	2.78996	0.01506
0.113	0.04384	0.38993	2.49379	0.02645
0.114	0.04388	0.39061	2.19919	0.0355
0.115	0.04392	0.39175	1.90446	0.0415
0.116	0.04388	0.39333	1.60921	0.04384
0.117	0.04381	0.39529	1.3179	0.04242
0.118	0.04372	0.39758	1.02538	0.03738
0.119	0.04358	0.40013	0.73499	0.02922
0.12	0.04337	0.40286	0.44708	0.01875
0.121	0.04315	0.4057	0.15996	0.00687
0.122	0.04292	0.40856	6.15816	-0.00535
0.123	0.04255	0.41135	5.87468	-0.0169
0.124	0.04224	0.41401	5.59348	-0.02688
0.125	0.04186	0.41646	5.31394	-0.03451
0.126	0.04141	0.41863	5.03495	-0.03927
0.127	0.04099	0.42047	4.75868	-0.04094
0.128	0.04049	0.42192	4.48442	-0.03944
0.129	0.04	0.42296	4.20863	-0.03503
0.13	0.03945	0.42355	3.93766	-0.02819
0.131	0.03888	0.42368	3.66556	-0.01945
0.132	0.03835	0.42336	3.39475	-0.0096
0.133	0.03772	0.42258	3.12518	0.00062
0.134	0.03708	0.42138	2.85612	0.01044
0.135	0.03656	0.41979	2.58807	0.01922
0.136	0.03583	0.41785	2.31915	0.02625
0.137	0.03525	0.41562	2.05214	0.03124
0.138	0.03462	0.41316	1.78546	0.03382
0.139	0.03397	0.41055	1.51749	0.03392
0.14	0.03337	0.40785	1.25145	0.03168
0.141	0.03274	0.40514	0.98621	0.0273
0.142	0.03216	0.40251	0.71893	0.02118
0.143	0.03158	0.40003	0.45474	0.01387
0.144	0.03098	0.39776	0.18963	0.00584
0.145	0.03052	0.39577	6.20846	-0.00228
0.146	0.02997	0.39412	5.94471	-0.00995
0.147	0.02952	0.39286	5.68194	-0.0167
0.148	0.02914	0.39202	5.42034	-0.02214
0.149	0.02876	0.39162	5.15975	-0.02593
0.15	0.02844	0.39167	4.89847	-0.02795
0.151	0.0282	0.39216	4.64335	-0.02813
0.152	0.028	0.39307	4.38357	-0.0265
0.153	0.02785	0.39437	4.12874	-0.02324
0.154	0.02778	0.396	3.87554	-0.01861
0.155	0.02776	0.3979	3.62071	-0.0128
0.156	0.02783	0.40002	3.3691	-0.00628
0.157	0.02789	0.40229	3.11819	0.00065
0.158	0.02811	0.40464	2.86724	0.00762
0.159	0.02833	0.407	2.61726	0.01418
0.16	0.02857	0.40931	2.36725	0.01998
0.161	0.02893	0.41152	2.1181	0.02471
0.162	0.0293	0.41357	1.86825	0.02801
0.163	0.02968	0.41543	1.61655	0.02965
0.164	0.03014	0.41706	1.36771	0.02952
0.165	0.03061	0.41843	1.11486	0.02748
0.166	0.03108	0.41953	0.86138	0.02358
0.167	0.0316	0.42032	0.60911	0.01808
0.168	0.0321	0.42082	0.35311	0.0111
0.169	0.03268	0.42101	0.09631	0.00314
0.17	0.03317	0.4209	6.1221	-0.00532
0.171	0.03376	0.42049	5.86283	-0.01378
0.172	0.03433	0.41979	5.60108	-0.02164
0.173	0.03484	0.41883	5.33939	-0.02821
0.174	0.03543	0.41762	5.0741	-0.03314
0.175	0.03599	0.41619	4.80987	-0.03582
0.176	0.03653	0.41457	4.54051	-0.03599
0.177	0.03708	0.41279	4.27247	-0.03355
0.178	0.03764	0.41089	4.00258	-0.02855
0.179	0.03817	0.40891	3.72861	-0.02114
0.18	0.0387	0.40688	3.45625	-0.01198
0.181	0.03922	0.40484	3.18157	-0.00157
0.182	0.0398	0.40282	2.90363	0.00938
0.183	0.04025	0.40087	2.62735	0.0198
0.184	0.04078	0.39902	2.34756	0.02908
0.185	0.04132	0.39731	2.06819	0.03631
0.186	0.04176	0.39576	1.7867	0.0408
0.187	0.04224	0.39443	1.5047	0.04215
0.188	0.04276	0.39332	1.2232	0.0402
0.189	0.04315	0.39248	0.93828	0.0348
0.19	0.04363	0.39193	0.65504	0.02658
0.191	0.04401	0.3917	0.37083	0.01595
0.192	0.04445	0.39178	0.08511	0.00378
0.193	0.04482	0.39221	6.08323	-0.0089
0.194	0.04516	0.39296	5.79814	-0.02106
0.195	0.04559	0.39405	5.51213	-0.03177
0.196	0.04589	0.39546	5.22724	-0.03994
0.197	0.04621	0.39716	4.94173	-0.045
0.198	0.04659	0.39914	4.65823	-0.04652
0.199	0.04688	0.40134	4.37345	-0.04421
0.2	0.04717	0.40373	4.09039	-0.03834
0.201	0.04749	0.40625	3.80891	-0.02939
0.202	0.04775	0.40886	3.52654	-0.01793
0.203	0.04804	0.41149	3.2464	-0.00503
0.204	0.04826	0.41409	2.96691	0.00839
0.205	0.04853	0.41659	2.68825	0.02125
0.206	0.04878	0.41894	2.40988	0.03259
0.207	0.04892	0.42107	2.13332	0.04138
0.208	0.04918	0.42294	1.85679	0.04718
0.209	0.04933	0.42448	1.5809	0.04933
0.21	0.04947	0.42567	1.30526	0.04774
0.211	0.04962	0.42645	1.0304	0.04255
0.212	0.04975	0.42681	0.75565	0.03412
0.213	0.04981	0.42673	0.47915	0.02296
0.214	0.04989	0.42619	0.20517	0.01016
0.215	0.04993	0.4252	6.21161	-0.00357
0.216	0.04995	0.42376	5.93449	-0.01707
0.217	0.04992	0.4219	5.65758	-0.02923
0.218	0.04989	0.41966	5.37862	-0.03922
0.219	0.04986	0.41707	5.0985	-0.04619
0.22	0.04972	0.41419	4.81781	-0.04945
0.221	0.04962	0.41108	4.53431	-0.04884
0.222	0.04949	0.40781	4.25118	-0.04432
0.223	0.04927	0.40447	3.96382	-0.0361
0.224	0.04907	0.40114	3.67682	-0.02503
0.225	0.04882	0.39792	3.38791	-0.0119
0.226	0.04853	0.39489	3.0956	0.00223
0.227	0.04821	0.39215	2.80397	0.01597
0.228	0.0478	0.38978	2.51027	0.02821
0.229	0.04748	0.38785	2.21445	0.03798
0.23	0.04695	0.38644	1.91919	0.04413
0.231	0.04648	0.38558	1.62247	0.04642
0.232	0.046	0.3853	1.32608	0.04463
0.233	0.04539	0.38562	1.02912	0.03889
0.234	0.04479	0.3865	0.73268	0.02996
0.235	0.04418	0.38794	0.43885	0.01877
0.236	0.04348	0.38988	0.14307	0.0062
0.237	0.04281	0.39225	6.13467	-0.00633
0.238	0.04205	0.39499	5.84433	-0.01787
0.239	0.04131	0.398	5.55524	-0.02749
0.24	0.04053	0.4012	5.26884	-0.03442
0.241	0.03965	0.40449	4.98524	-0.03819
0.242	0.03889	0.40779	4.70362	-0.03889
0.243	0.03798	0.411	4.42388	-0.03641
0.244	0.03709	0.41405	4.14757	-0.03133
0.245	0.03623	0.41685	3.87335	-0.02421
0.246	0.03528	0.41936	3.60142	-0.01566
0.247	0.03436	0.42151	3.33104	-0.00647
0.248	0.03341	0.42327	3.06534	0.00255
0.249	0.03247	0.42461	2.79939	0.0109
0.25	0.03152	0.4255	2.53606	0.01794
0.251	0.03056	0.42595	2.27656	0.02326
0.252	0.02961	0.42594	2.01701	0.02671
0.253	0.02872	0.42551	1.76022	0.0282
0.254	0.02773	0.42466	1.50541	0.02768
0.255	0.02689	0.42343	1.25282	0.02555
0.256	0.02604	0.42185	1.00168	0.02193
0.257	0.02519	0.41998	0.75215	0.01721
0.258	0.02444	0.41785	0.50552	0.01183
0.259	0.02373	0.41553	0.26196	0.00615
0.26	0.02304	0.41308	0.01552	0.00036
0.261	0.02247	0.41056	6.06118	-0.00495
0.262	0.02195	0.40804	5.8205	-0.0098
0.263	0.0215	0.40558	5.58132	-0.01388
0.264	0.02113	0.40323	5.34655	-0.01702
0.265	0.02085	0.40106	5.10989	-0.01922
0.266	0.0207	0.39911	4.87322	-0.02044
0.267	0.02056	0.3974	4.63934	-0.02051
0.268	0.02056	0.39599	4.40119	-0.01957
0.269	0.02069	0.39487	4.1655	-0.01767
0.27	0.0208	0.39406	3.92425	-0.01467
0.271	0.02105	0.39358	3.68443	-0.01087
0.272	0.0214	0.3934	3.44122	-0.00632
0.273	0.02171	0.39353	3.19385	-0.00113
0.274	0.02218	0.39395	2.94543	0.00432
0.275	0.02262	0.39465	2.69571	0.00975
0.276	0.02316	0.39559	2.43855	0.01498
0.277	0.02367	0.39676	2.18343	0.01936
0.278	0.02423	0.39812	1.92486	0.02273
0.279	0.02485	0.39964	1.66057	0.02475
0.28	0.02541	0.40128	1.39919	0.02503
0.281	0.026	0.40301	1.13199	0.02354
0.282	0.02666	0.40478	0.86538	0.0203
0.283	0.02723	0.40656	0.5963	0.01529
0.284	0.02783	0.40831	0.32549	0.0089
0.285	0.02848	0.41	0.05648	0.00161
0.286	0.02904	0.41161	6.06576	-0.00627
0.287	0.02964	0.4131	5.79333	-0.01394
0.288	0.03019	0.41445	5.52193	-0.02083
0.289	0.03077	0.41564	5.24606	-0.02649
0.29	0.03128	0.41665	4.97201	-0.03023
0.291	0.03177	0.41746	4.69868	-0.03177
0.292	0.0323	0.41805	4.42152	-0.03094
0.293	0.03273	0.41842	4.14714	-0.02764
0.294	0.03315	0.41854	3.86987	-0.02206
0.295	0.03358	0.41841	3.59416	-0.01468
0.296	0.03396	0.41803	3.3159	-0.00589
0.297	0.03427	0.41739	3.03781	0.00355
0.298	0.03464	0.4165	2.75998	0.0129
0.299	0.03489	0.41537	2.47978	0.02144
0.3	0.03519	0.41402	2.19909	0.02847
0.301	0.0354	0.41248	1.91835	0.03328
0.302	0.03562	0.41077	1.6359	0.03554
0.303	0.03583	0.40893	1.35141	0.03497
0.304	0.03593	0.407	1.06733	0.03147
0.305	0.03609	0.40503	0.78116	0.02541
0.306	0.03623	0.40306	0.49345	0.01716
0.307	0.03624	0.40115	0.20447	0.00736
0.308	0.03638	0.39935	6.19847	-0.00308
0.309	0.0364	0.39771	5.90724	-0.01336
0.31	0.03642	0.39629	5.61467	-0.02257
0.311	0.03644	0.39513	5.32199	-0.02988
0.312	0.03641	0.39428	5.02935	-0.0346
0.313	0.03641	0.39377	4.73284	-0.0364
0.314	0.03632	0.39363	4.44027	-0.03498
0.315	0.03626	0.39387	4.14431	-0.03056
0.316	0.03619	0.39451	3.84956	-0.02353
0.317	0.03604	0.39553	3.55497	-0.01448
0.318	0.03591	0.3969	3.26013	-0.00425
0.319	0.03581	0.39859	2.96767	0.0062
0.32	0.03558	0.40056	2.67284	0.01607
0.321	0.03542	0.40276	2.38127	0.02441
0.322	0.0352	0.40511	2.09101	0.03055
0.323	0.03498	0.40756	1.79857	0.03408
0.324	0.03473	0.41004	1.51022	0.03467
0.325	0.03445	0.41248	1.22205	0.03237
0.326	0.03421	0.41481	0.93303	0.02749
0.327	0.03387	0.41697	0.64728	0.02042
0.328	0.03355	0.41889	0.36008	0.01182
0.329	0.03324	0.42052	0.07487	0.00249
0.33	0.03287	0.42181	6.07252	-0.00687
0.331	0.03248	0.42272	5.78575	-0.0155
0.332	0.03211	0.42322	5.50298	-0.02259
0.333	0.03169	0.4233	5.2148	-0.02778
0.334	0.03125	0.42294	4.92938	-0.03052
0.335	0.03079	0.42215	4.64327	-0.03072
0.336	0.03033	0.42095	4.35493	-0.02842
0.337	0.02986	0.41936	4.06558	-0.02383
0.338	0.02927	0.41742	3.77627	-0.01735
0.339	0.02881	0.41518	3.4843	-0.00968
0.34	0.02821	0.4127	3.19046	-0.00138
0.341	0.02761	0.41003	2.89527	0.00673
0.342	0.02704	0.40726	2.59848	0.01397
0.343	0.0264	0.40444	2.299	0.0197
0.344	0.02573	0.40167	1.99651	0.02343
0.345	0.02509	0.39901	1.69435	0.02489
0.346	0.02436	0.39655	1.38831	0.02395
0.347	0.02369	0.39435	1.07976	0.02089
0.348	0.02291	0.39248	0.77095	0.01596
0.349	0.02218	0.39101	0.46001	0.00985
0.35	0.02145	0.38996	0.14582	0.00312
0.351	0.0206	0.38938	6.11598	-0.00343
0.352	0.01983	0.38928	5.79908	-0.00923
0.353	0.01902	0.38966	5.48521	-0.01362
0.354	0.01816	0.3905	5.164	-0.01634
0.355	0.01733	0.39177	4.8481	-0.01717
0.356	0.01647	0.39343	4.52951	-0.01619
0.357	0.0156	0.39542	4.20625	-0.01365
0.358	0.01472	0.39768	3.88783	-0.01
0.359	0.0138	0.40015	3.5646	-0.00567
0.36	0.01299	0.40276	3.23958	-0.00127
0.361	0.01203	0.40544	2.91298	0.00273
0.362	0.01116	0.40813	2.58192	0.00593
0.363	0.01032	0.41076	2.24953	0.00803
0.364	0.00942	0.41326	1.90671	0.00889
0.365	0.00861	0.4156	1.55701	0.00861
0.366	0.00777	0.41771	1.2072	0.00726
0.367	0.00705	0.41956	0.8304	0.0052
0.368	0.00629	0.42111	0.44416	0.0027
0.369	0.0056	0.42232	0.04546	0.00025
0.37	0.0051	0.4232	5.89111	-0.00195
0.371	0.00459	0.42372	5.43458	-0.00345
0.372	0.0043	0.42389	4.93909	-0.00419
0.373	0.00416	0.42371	4.44022	-0.004
0.374	0.00422	0.4232	3.92868	-0.00299
0.375	0.00448	0.42237	3.42971	-0.00127
0.376	0.00482	0.42125	2.97031	0.00082
0.377	0.00533	0.41988	2.52955	0.00306
0.378	0.0059	0.41827	2.12693	0.00501
0.379	0.00649	0.41646	1.72841	0.00641
0.38	0.00712	0.41449	1.36376	0.00697
0.381	0.00777	0.41238	1.00538	0.00656
0.382	0.00842	0.41019	0.64949	0.0051
0.383	0.00905	0.40795	0.31002	0.00276
0.384	0.00963	0.4057	6.25535	-0.00027
0.385	0.01032	0.40349	5.92133	-0.00365
0.386	0.01082	0.40136	5.58917	-0.00692
0.387	0.0114	0.39935	5.26175	-0.00973
0.388	0.01195	0.3975	4.93645	-0.01165
0.389	0.01241	0.39584	4.60887	-0.01235
0.39	0.01289	0.39442	4.28315	-0.01172
0.391	0.0133	0.39326	3.96308	-0.00974
0.392	0.01372	0.39238	3.6347	-0.00649
0.393	0.01409	0.39179	3.31324	-0.00241
0.394	0.01438	0.39151	2.99004	0.00217
0.395	0.01475	0.39155	2.66894	0.00671
0.396	0.01501	0.3919	2.34616	0.01072
0.397	0.01521	0.39256	2.02596	0.01366
0.398	0.0155	0.39352	1.70789	0.01535
0.399	0.01563	0.39476	1.38873	0.01537
0.4	0.01581	0.39627	1.07031	0.01387
0.401	0.01591	0.39802	0.75699	0.01092
0.402	0.016	0.39997	0.44169	0.00684
0.403	0.01607	0.40208	0.12584	0.00202
0.404	0.01604	0.40432	6.10083	-0.00291
0.405	0.01606	0.40662	5.78705	-0.00764
0.406	0.01601	0.40895	5.47871	-0.01153
0.407	0.0159	0.41125	5.16941	-0.01427
0.408	0.01579	0.41346	4.86064	-0.01562
0.409	0.01566	0.41556	4.5565	-0.01547
0.41	0.01548	0.41748	4.24445	-0.01382
0.411	0.01528	0.41919	3.94189	-0.01096
0.412	0.01506	0.42066	3.63588	-0.00714
0.413	0.01484	0.42185	3.32628	-0.00272
0.414	0.01454	0.42273	3.02263	0.00173
0.415	0.01424	0.42327	2.7161	0.00588
0.416	0.014	0.42347	2.40708	0.00938
0.417	0.01359	0.42331	2.10012	0.01173
0.418	0.01329	0.42279	1.79006	0.01298
0.419	0.01294	0.42191	1.48157	0.01289
0.42	0.01256	0.42069	1.16628	0.01154
0.421	0.01217	0.41915	0.8517	0.00915
0.422	0.01177	0.41732	0.53923	0.00604
0.423	0.01137	0.41523	0.21272	0.0024
0.424	0.01096	0.41296	6.17656	-0.00117
0.425	0.01051	0.41053	5.84746	-0.00444
0.426	0.01014	0.40801	5.51673	-0.00703
0.427	0.00971	0.40547	5.17893	-0.00867
0.428	0.00927	0.40298	4.83545	-0.0092
0.429	0.00891	0.40058	4.49089	-0.00869
0.43	0.00851	0.39837	4.13324	-0.00712
0.431	0.00815	0.39638	3.76742	-0.00478
0.432	0.00781	0.39468	3.4083	-0.00206
0.433	0.00755	0.39332	3.02428	0.00088
0.434	0.00728	0.39234	2.64309	0.00348
0.435	0.00705	0.39176	2.25588	0.00546
0.436	0.00691	0.39161	1.85745	0.00663
0.437	0.00685	0.39188	1.46407	0.00681
0.438	0.00678	0.39257	1.05163	0.00589
0.439	0.00685	0.39365	0.65951	0.0042
0.44	0.00697	0.39508	0.25709	0.00177
0.441	0.00717	0.39682	6.14106	-0.00102
0.442	0.00741	0.3988	5.75714	-0.00372
0.443	0.00771	0.40097	5.37358	-0.00609
0.444	0.00816	0.40326	5.00204	-0.00782
0.445	0.00851	0.40561	4.63367	-0.00849
0.446	0.009	0.40793	4.27812	-0.00817
0.447	0.00954	0.41017	3.93158	-0.00678
0.448	0.01005	0.41228	3.58299	-0.00429
0.449	0.01065	0.41419	3.24949	-0.00115
0.45	0.01123	0.41587	2.92047	0.00246
0.451	0.01189	0.41728	2.59045	0.00623
0.452	0.01251	0.41838	2.27172	0.00956
0.453	0.01316	0.41916	1.95294	0.01221
0.454	0.01387	0.41959	1.63741	0.01384
0.455	0.01454	0.41969	1.32699	0.01411
0.456	0.01523	0.41944	1.01214	0.01291
0.457	0.01595	0.41887	0.70855	0.01038
0.458	0.01667	0.418	0.39692	0.00645
0.459	0.01737	0.41685	0.08989	0.00156
0.46	0.01811	0.41547	6.06896	-0.00385
0.461	0.01884	0.41389	5.76097	-0.0094
0.462	0.01961	0.41218	5.45546	-0.01444
0.463	0.02027	0.41036	5.14993	-0.01836
0.464	0.02107	0.40849	4.84442	-0.02089
0.465	0.0218	0.40664	4.53773	-0.02146
0.466	0.02248	0.40483	4.23124	-0.01993
0.467	0.02323	0.40313	3.92567	-0.01641
0.468	0.02394	0.40158	3.61848	-0.01099
0.469	0.02461	0.4002	3.30966	-0.00412
0.47	0.02531	0.39905	3.00409	0.00347
0.471	0.02595	0.39813	2.69544	0.0112
0.472	0.02666	0.39748	2.38718	0.01826
0.473	0.02725	0.3971	2.07913	0.0238
0.474	0.02788	0.397	1.77229	0.02731
0.475	0.02855	0.39718	1.4638	0.02839
0.476	0.02905	0.39761	1.15756	0.02661
0.477	0.02968	0.39828	0.85066	0.02231
0.478	0.03022	0.39917	0.54622	0.0157
0.479	0.03072	0.40024	0.23956	0.00729
0.48	0.03121	0.40147	6.2193	-0.00199
0.481	0.03167	0.40282	5.91658	-0.01135
0.482	0.03213	0.40424	5.61179	-0.01998
0.483	0.03252	0.40571	5.31132	-0.02686
0.484	0.03287	0.4072	5.0096	-0.03142
0.485	0.03329	0.40866	4.70921	-0.03329
0.486	0.03355	0.41007	4.40989	-0.03203
0.487	0.03383	0.41141	4.11084	-0.02789
0.488	0.03411	0.41264	3.81395	-0.02124
0.489	0.03427	0.41375	3.51578	-0.01253
0.49	0.03446	0.4147	3.21883	-0.00266
0.491	0.03455	0.4155	2.92438	0.00745
0.492	0.03468	0.41611	2.62728	0.01706
0.493	0.03469	0.41653	2.33174	0.02512
0.494	0.03467	0.41674	2.03857	0.03094
0.495	0.03469	0.41675	1.74182	0.03418
0.496	0.03456	0.41655	1.44858	0.0343
0.497	0.03443	0.41615	1.15347	0.03148
0.498	0.03428	0.41555	0.8598	0.02597
0.499	0.03408	0.41476	0.56558	0.01826
0.5	0.03378	0.4138	0.27038	0.00902
0.501	0.03353	0.41267	6.2609	-0.00075
0.502	0.03317	0.4114	5.9658	-0.01035
0.503	0.03281	0.41	5.67113	-0.01885
0.504	0.03237	0.4085	5.37789	-0.02546
0.505	0.03193	0.40692	5.08323	-0.02976
0.506	0.03145	0.4053	4.78841	-0.03136
0.507	0.03088	0.40365	4.49512	-0.03015
0.508	0.03032	0.40203	4.20063	-0.02643
0.509	0.02975	0.40048	3.90745	-0.02062
0.51	0.02903	0.39902	3.61235	-0.01317
0.511	0.0284	0.39771	3.32067	-0.00506
0.512	0.02768	0.39657	3.02741	0.00315
0.513	0.02692	0.39566	2.73459	0.01066
0.514	0.02619	0.39499	2.44429	0.01682
0.515	0.02536	0.39459	2.15552	0.02114
0.516	0.0246	0.39447	1.86513	0.02355
0.517	0.02372	0.39466	1.58071	0.02372
0.518	0.02288	0.39515	1.29596	0.02202
0.519	0.02207	0.39593	1.01443	0.01874
0.52	0.02115	0.39701	0.73533	0.01419
0.521	0.02028	0.39835	0.46037	0.00901
0.522	0.01948	0.39994	0.19074	0.00369
0.523	0.01857	0.40174	6.20495	-0.00145
0.524	0.01777	0.40372	5.94514	-0.00589
0.525	0.01695	0.40582	5.69141	-0.00945
0.526	0.01617	0.408	5.44013	-0.01207
0.527	0.01543	0.41021	5.19923	-0.01363
0.528	0.0147	0.41239	4.9679	-0.01423
0.529	0.0141	0.41448	4.73728	-0.0141
0.53	0.01349	0.41643	4.52231	-0.01325
0.531	0.013	0.41819	4.31101	-0.01197
0.532	0.01263	0.41972	4.10692	-0.01038
0.533	0.01234	0.42097	3.91164	-0.00859
0.534	0.01213	0.42192	3.71549	-0.00658
0.535	0.01214	0.42254	3.53032	-0.0046
0.536	0.01218	0.42281	3.33658	-0.00236
0.537	0.01237	0.42273	3.14478	-0.00004
0.538	0.01272	0.42229	2.95156	0.0024
0.539	0.0131	0.42151	2.74732	0.00503
0.54	0.01361	0.42039	2.53731	0.00773
0.541	0.01419	0.41896	2.32661	0.01033
0.542	0.01485	0.41725	2.09774	0.01283
0.543	0.01556	0.41528	1.86959	0.01487
0.544	0.01629	0.41311	1.63237	0.01626
0.545	0.01711	0.41079	1.38709	0.01682
0.546	0.01795	0.40836	1.13723	0.01629
0.547	0.01874	0.4059	0.88265	0.01448
0.548	0.01968	0.40346	0.62186	0.01146
0.549	0.02052	0.40111	0.35811	0.00719
0.55	0.02139	0.39891	0.08843	0.00189
0.551	0.02229	0.39692	6.10159	-0.00403
0.552	0.02318	0.39518	5.82598	-0.01023
0.553	0.02403	0.39375	5.54701	-0.01614
0.554	0.02492	0.39265	5.26947	-0.02115
0.555	0.02577	0.39191	4.98659	-0.02481
0.556	0.02665	0.39154	4.70237	-0.02665
0.557	0.02745	0.39154	4.41985	-0.02628
0.558	0.02832	0.39191	4.13366	-0.02371
0.559	0.02913	0.39264	3.84741	-0.01889
0.56	0.02992	0.39369	3.56239	-0.01222
0.561	0.03072	0.39503	3.27491	-0.00408
0.562	0.03152	0.39663	2.99042	0.00475
0.563	0.03226	0.39843	2.70244	0.01371
0.564	0.03303	0.40039	2.41852	0.02185
0.565	0.03379	0.40246	2.13355	0.02858
0.566	0.03449	0.40458	1.84757	0.03318
0.567	0.03523	0.40671	1.56505	0.03523
0.568	0.0359	0.40879	1.28168	0.03441
0.569	0.03665	0.41079	0.99767	0.03079
