#Age (Myr)	d18O(‰)
1.602	3.71
1.605	3.57
1.608	3.46
1.611	3.55
1.614	3.69
1.617	3.78
1.62	3.88
1.623	3.83
1.626	3.72
1.629	3.76
1.632	3.93
1.635	3.65
1.638	3.61
1.641	3.64
1.644	3.79
1.647	4.12
1.65	4.24
1.653	4.31
1.656	4.28
1.659	4.22
1.662	4.25
1.665	4.19
1.668	4.07
1.671	3.94
1.674	3.79
1.677	3.75
1.68	3.81
1.683	3.78
1.686	3.98
1.689	3.99
1.692	4
1.695	4.08
1.698	4.39
1.701	4.47
1.704	4.31
1.707	4.15
1.71	3.96
1.713	3.9
1.716	4
1.719	4.13
1.722	4.12
1.725	4.04
1.728	4.06
1.731	4.06
1.734	3.9
1.737	3.98
1.74	4
1.743	4.16
1.746	4.33
1.749	4.46
1.752	4.46
1.755	4.09
1.758	3.73
1.761	3.73
1.764	3.45
1.767	3.43
1.77	3.6
1.773	3.82
1.776	3.96
1.779	4.1
1.782	4.18
1.785	4.23
1.788	4.31
1.791	4.24
1.794	4.22
1.797	4.08
1.8	3.94
1.803	3.71
1.806	3.86
1.809	3.75
1.812	3.8
1.815	3.92
1.818	4.08
1.821	3.89
1.824	3.68
1.827	3.8
1.83	3.91
1.833	3.99
1.836	4.1
1.839	4.01
1.842	4.03
1.845	3.93
1.848	3.82
1.851	3.84
1.854	3.7
1.857	3.81
1.86	4.02
1.863	4.13
1.866	3.89
1.869	3.77
1.872	3.95
1.875	4.44
1.878	4.39
1.881	4.26
1.884	3.99
1.887	3.75
1.89	3.64
1.893	3.56
1.896	3.61
1.899	3.61
1.902	3.63
1.905	3.78
1.908	4
1.911	4.09
1.914	4.19
1.916	4.23
1.919	4.01
1.922	3.86
1.925	3.89
1.928	3.83
1.931	3.52
1.934	3.51
1.937	3.61
1.94	3.59
1.943	3.59
1.946	3.53
1.949	3.46
1.952	3.67
1.955	3.92
1.958	3.91
1.961	3.8
1.964	3.75
1.967	3.72
1.97	3.58
1.973	3.45
1.976	3.42
1.979	3.32
1.982	3.33
1.985	3.73
1.988	3.91
1.991	3.75
1.994	3.76
1.997	3.78
2	3.74
2.003	3.75
2.006	3.8
2.009	3.77
2.012	3.69
2.015	4.8
2.018	4.9
2.021	3.34
2.024	3.43
2.027	3.39
2.03	3.57
2.033	3.51
2.036	3.54
2.039	3.58
2.042	3.69
2.045	3.73
2.048	3.58
2.051	3.44
2.054	3.31
2.057	3.43
2.06	3.52
2.063	3.62
2.066	3.69
2.069	3.61
2.072	3.76
2.075	3.9
2.078	3.84
2.081	3.86
2.084	4.14
2.087	4.07
2.09	3.93
2.093	4.04
2.096	3.78
2.099	3.61
2.102	3.31
2.105	3.57
2.108	3.77
2.111	3.67
2.114	3.62
2.117	3.67
2.12	3.6
2.123	3.8
2.126	3.77
2.129	3.71
2.132	3.67
2.135	3.54
2.138	3.35
2.141	3.36
2.144	3.46
2.147	3.72
2.15	3.94
2.153	3.99
2.156	3.99
2.159	4.17
2.162	4.21
2.165	4.16
2.168	4.15
2.171	4.03
2.174	3.95
2.177	3.87
2.18	3.78
2.183	3.71
2.186	3.62
2.189	3.51
2.192	3.45
2.195	3.5
2.198	3.65
2.201	3.72
2.204	3.75
2.207	3.6
2.21	3.42
2.213	3.39
2.216	3.39
2.219	3.41
2.222	3.47
2.225	3.48
2.228	3.49
2.231	3.51
2.234	3.45
2.237	3.44
2.24	3.8
2.243	4.04
2.246	3.98
2.249	3.86
2.252	3.64
2.255	3.52
2.258	3.5
2.261	3.32
2.264	3.22
2.267	3.25
