Freq,Power,Theor.AR(1),chi2 80%,chi2 90%,chi2 95%,chi2 99%,chi2 crit.
66.482,2.3067E-05,7.8489E-05,0.00012061,0.00016103,0.00020014,0.00028809,0.00042582
66.604,0.00012404,7.8244E-05,0.00012023,0.00016053,0.00019951,0.00028719,0.00042449
66.726,0.00016992,7.8E-05,0.00011986,0.00016003,0.00019889,0.0002863,0.00042317
66.849,6.974E-05,7.7758E-05,0.00011948,0.00015953,0.00019827,0.00028541,0.00042185
66.971,2.306E-05,7.7517E-05,0.00011911,0.00015903,0.00019766,0.00028452,0.00042055
67.093,3.4389E-05,7.7277E-05,0.00011874,0.00015854,0.00019705,0.00028364,0.00041924
67.215,0.0001782,7.7039E-05,0.00011838,0.00015805,0.00019644,0.00028277,0.00041795
67.337,0.00019647,7.6801E-05,0.00011801,0.00015757,0.00019583,0.0002819,0.00041666
67.46,0.00010213,7.6566E-05,0.00011765,0.00015708,0.00019523,0.00028103,0.00041538
67.582,7.4712E-05,7.6331E-05,0.00011729,0.0001566,0.00019464,0.00028017,0.00041411
67.704,0.00011495,7.6098E-05,0.00011693,0.00015612,0.00019404,0.00027931,0.00041285
67.826,0.00014629,7.5866E-05,0.00011658,0.00015565,0.00019345,0.00027846,0.00041159
67.949,8.5962E-05,7.5635E-05,0.00011622,0.00015517,0.00019286,0.00027761,0.00041034
68.071,3.0059E-05,7.5405E-05,0.00011587,0.0001547,0.00019227,0.00027677,0.00040909
68.193,9.59E-06,7.5177E-05,0.00011552,0.00015423,0.00019169,0.00027593,0.00040785
68.315,4.5419E-06,7.495E-05,0.00011517,0.00015377,0.00019111,0.0002751,0.00040662
68.437,1.9517E-06,7.4724E-05,0.00011482,0.0001533,0.00019054,0.00027427,0.00040539
68.56,4.2488E-06,7.4499E-05,0.00011448,0.00015284,0.00018997,0.00027345,0.00040418
68.682,2.0256E-05,7.4276E-05,0.00011413,0.00015238,0.0001894,0.00027263,0.00040296
68.804,4.027E-05,7.4054E-05,0.00011379,0.00015193,0.00018883,0.00027181,0.00040176
68.926,2.0094E-05,7.3833E-05,0.00011345,0.00015147,0.00018827,0.000271,0.00040056
69.048,8.0043E-06,7.3613E-05,0.00011311,0.00015102,0.0001877,0.00027019,0.00039937
69.171,3.4859E-05,7.3394E-05,0.00011278,0.00015058,0.00018715,0.00026939,0.00039818
69.293,7.5003E-05,7.3177E-05,0.00011244,0.00015013,0.00018659,0.00026859,0.000397
69.415,6.9799E-05,7.296E-05,0.00011211,0.00014968,0.00018604,0.0002678,0.00039583
69.537,5.7605E-05,7.2745E-05,0.00011178,0.00014924,0.00018549,0.00026701,0.00039466
69.659,3.7627E-05,7.2531E-05,0.00011145,0.0001488,0.00018495,0.00026622,0.0003935
