Peaks found on 2018-10-22 13:31:23.532589

Number    Wavelength 
0  5573.181649307634
1  6038.3509840062425
2  6038.355068893811
3  6299.517753693967
4  6363.289022649459
5  6863.786650675481
6  6942.88081392931
7  7595.000625866003
8  7711.370325965973
9  7758.859453554853
10  7820.105820968487
11  7851.771574020572
12  7875.913713011556
13  7912.45906227596
14  7963.320204291206
15  7992.505339650754
16  8334.910071641543
17  8342.687695475897
18  8342.697454260735
19  8431.387433585285
20  8451.397993222849
21  8463.39901042003
22  8503.035638696294
23  8765.815722313268
24  8771.824324506732
25  8774.777218396355
26  8778.419613474762
27  8810.82077456315
28  8825.296287406187
29  8828.165843935561
30  8855.699530469074
31  8865.57654033978
32  8884.048179735202
33  8884.049085077713
34  8917.817717715698
35  8917.817796061363
36  8941.55741503153
37  8956.52434298652
38  8961.465603192788
39  8986.893942621184
40  8989.096114079855
41  9047.833917265869
42  9312.743801351122
43  9313.22126358011
44  9314.099091696682
45  9325.233373032725
