Peaks found on 2018-10-20 09:32:27.903203

Number    Index     Wavelength 
0  193   4991.047978940217
1  355   5193.60300611413
2  431   5288.628821331522
3  523   5403.660071331522
4  663   5578.707625679348
5  779   5723.747027853261
6  938   5922.551036005435
7  1006   6007.574133831522
8  1173   6216.380859375
9  1287   6358.919582201087
10  1651   6814.043223505434
11  1696   6870.308508831522
12  1821   7026.600968070652
13  1962   7202.898862092392
14  2023   7279.169582201087
15  2132   7415.456606657608
16  2188   7485.475628396739
17  2283   7604.257897418478
18  2379   7724.29050611413
19  2409   7761.800696331522
20  2462   7828.068699048913
21  2538   7923.094514266304
22  2684   8105.644106657608
23  2824   8280.691661005434
24  2877   8346.959663722826
25  2907   8384.469853940218
26  3004   8505.752802309782
27  3132   8665.796280570652
28  3245   8807.084663722826
29  3320   8900.860139266304
30  3430   9038.39750339674
31  3530   9163.431470788044
32  3631   9289.71577785326
