Peaks found on 2018-10-19 10:52:40.709297

Number    Index     Wavelength 
0  8   4759.735139266304
1  136   4919.778617527174
2  193   4991.047978940217
3  226   5032.309188179348
4  295   5118.582625679348
5  346   5182.349949048913
6  412   5264.872367527174
7  536   5419.914487092391
8  613   5516.190641983696
9  647   5558.702190896739
10  683   5603.714419157609
11  815   5768.75925611413
12  961   5951.308848505435
13  1039   6048.835343070652
14  1092   6115.103345788044
15  1224   6280.148182744565
16  1265   6331.412109375
17  1411   6513.961701766304
18  1501   6626.492272418478
19  1546   6682.757557744565
20  1657   6821.545261548913
21  1742   6927.824133831522
22  1852   7065.361497961956
23  1974   7217.902938179348
24  2016   7270.417204483696
25  2095   7369.194038722826
26  2240   7550.493291440218
27  2281   7601.757218070652
28  2356   7695.53269361413
29  2390   7738.044242527174
30  2459   7824.317680027174
31  2523   7904.339419157608
32  2608   8010.618291440218
33  2782   8228.177394701088
34  2821   8276.940641983696
35  2868   8335.706606657608
36  2903   8379.468495244564
37  3020   8525.758237092392
38  3085   8607.03031589674
39  3248   8810.835682744564
40  3293   8867.100968070652
41  3386   8983.382557744564
42  3505   9132.172978940216
