Peaks found on 2018-11-01 10:46:59.488452

Number    Wavelength 
0  6220.677394512766
1  7243.507382581619
2  7749.948305122729
3  7867.692564557978
4  7921.985014636988
5  8029.476474382555
6  8112.3811796775635
7  8112.716257205813
8  8273.519465136129
9  8274.149896000821
10  8355.377616116408
11  8355.402435778391
12  8355.447974237217
13  8355.450064145904
14  8398.163624146371
15  8444.947669725383
16  8867.81566355035
17  8882.493216550849
18  8885.155147693797
19  8947.63501359833
20  9046.752565123894
21  9079.237062986782
22  9289.521104900577
23  9323.163135682113
