Peaks found on 2018-10-22 13:31:36.868825

Number    Wavelength 
0  5563.895503286429
1  5574.380375208584
2  5837.322884522268
3  5869.029331033619
4  5869.029374110885
5  5889.442037128571
6  6297.643514541342
7  6300.7363634753665
8  6333.068698277081
9  6360.864936131605
10  7653.734648618856
11  7764.005657377419
12  7883.234911759179
13  7902.457243230717
14  7965.356175312523
15  7981.114045447
16  8275.154056176942
17  8353.213311840158
18  8353.813891696662
19  8405.555172693808
20  8415.259695311002
21  8431.322359650321
22  8445.119594514199
23  8464.487852510641
24  8485.125720846107
25  8494.4808550683
26  8540.176892077765
27  8768.467423065193
28  8774.660430149474
29  8779.10502646224
30  8827.711062163757
31  8827.711090007464
32  8837.67344430788
33  8838.110719335496
34  8886.502312133636
35  8901.068684521482
36  8920.281780751679
37  8929.658000538242
38  8931.203699987946
39  8973.558715637497
40  9002.406169762573
41  9050.29741676242
42  9298.281419656158
43  9311.72134369333
44  9312.859759901325
45  9313.717619941446
46  9318.076116300303
47  9323.86947851072
48  9323.869479255634
