Peaks found on 2018-10-22 09:33:22.616604

Number    Wavelength 
0  5574.611256093224
1  6289.565513293383
2  6290.90576418022
3  6580.111119897268
4  6580.112868972382
5  7443.701764682143
6  7443.832039541455
7  7598.98206547886
8  7661.725121130298
9  8423.92704794986
10  8459.62555036076
11  8581.245803226699
12  8753.488523958524
13  8824.295801226357
14  8838.074558422011
15  8840.074207009424
16  8884.027891124004
17  8917.737107449573
18  8956.023622220862
19  8956.023627251645
20  8986.956954185493
21  9313.950152490897
22  9317.876599665215
23  9325.399073485669
