Peaks found on 2018-11-01 13:23:55.213720

Number    Wavelength 
0  5016.8641455278785
1  5092.908974567582
2  5115.4288270338075
3  5134.297798872343
4  5136.622967983907
5  5137.226691567972
6  5189.670810742406
7  5193.876142025823
8  5206.51927077541
9  5206.532713347816
10  5206.566980111924
11  5232.852826038199
12  5263.495349773472
13  5267.280564299921
14  5267.6105891929155
15  5267.995054264524
16  5269.451058106359
17  5275.077288491756
18  5311.182391971649
19  5311.338842304835
20  5312.47275803661
21  5313.604571460118
22  5342.194964224774
23  5348.276696986017
24  5368.55179907485
25  5373.088173259574
26  5376.243227763597
27  5380.106427505977
28  5381.288526950439
29  5387.489384760083
30  5393.405974136389
31  5403.118523256813
32  5405.323356122627
33  5405.740441435944
34  5409.2839963756105
35  5409.750500534527
36  5421.819220656376
37  5435.494577126049
38  5438.58904950298
39  5449.756707063006
40  5456.989474632939
41  5457.7933957475425
42  5475.414735779218
43  5476.5714914147775
44  5494.5963614504835
45  5520.230736520994
46  5549.937351008087
47  5550.528710839779
48  5554.944504525482
49  5555.1024836416955
50  5569.662140509755
51  5573.930545502514
52  5574.337951311695
53  5594.32140756776
54  5601.270130636961
55  5601.453289102972
56  5604.647413181987
57  5628.629030252467
58  5629.553573789896
59  5637.051009742866
60  5638.191403076918
61  5644.178570858303
62  5646.708201452592
63  5656.831623067867
64  5675.289553646141
65  5677.033345961511
66  5711.112596293865
67  5711.889685609923
68  5711.941901013
69  5738.011999158546
70  5739.07389714172
71  5742.319763219024
72  5749.904393311158
73  5757.089422085565
74  5760.243947920848
75  5761.027315354763
76  5841.601676781691
77  5867.03961168796
78  5867.475836638286
79  5867.853457830952
80  5892.805562019506
81  5909.72471027336
82  5932.258865352974
83  5958.152683175029
84  5965.1425365184605
85  5990.527621740409
86  5992.641640988141
87  6019.4182066008325
88  6020.303194439843
89  6065.513220254587
90  6065.668575278386
91  6065.9832664680835
92  6067.293339972425
93  6068.401154467998
94  6080.870199859133
95  6085.323262935883
96  6085.5551701286395
97  6094.875816435173
98  6112.084765966795
99  6113.155851911264
100  6141.601152703911
101  6146.000961912126
102  6147.879177821728
103  6208.116426401599
104  6211.119826491869
105  6302.101030922111
106  6304.945958438764
107  6542.781949821486
108  6674.18302907817
109  6738.69694898217
110  7871.383449564169
111  7917.3104620972035
112  8833.133344111347
113  8851.719992337376
114  8921.574237705023
115  9040.173404273115
116  9050.659265667047
