Peaks found on 2018-10-22 13:28:06.389020

Number    Wavelength 
0  5002.777929118154
1  5435.599635279516
2  5574.951153061961
3  5574.951153566332
4  5640.249280396723
5  5670.695889471844
6  5788.910151155539
7  5856.614065126262
8  5940.125448167539
9  5980.946892873629
10  6298.307204178251
11  6298.307224073115
12  6329.317689000085
13  6361.422763223165
14  6361.869669787194
15  7089.002984667688
16  7231.879875443119
17  7233.843666493903
18  7266.6117490141305
19  7301.871245752306
20  7306.273685451812
21  7335.625783900755
22  7592.271430137043
23  7737.102275465916
24  7800.706294074546
25  7983.407886218377
26  8283.652711942339
27  8347.029964761565
28  8347.029967634828
29  8401.362151734476
30  8454.23741811059
31  8800.184098546219
32  8828.492117647114
33  8916.865261462593
34  8921.104631728667
35  9315.669410388002
