Peaks found on 2018-10-19 10:52:23.820344

Number    Index     Wavelength 
0  181   4976.043902853261
1  235   5043.562245244565
2  317   5146.090098505435
3  357   5196.103685461956
4  435   5293.630180027174
5  478   5347.394786005435
6  661   5576.206946331522
7  807   5758.756538722826
8  869   5836.277598505435
9  911   5888.791864809782
10  1038   6047.585003396739
11  1287   6358.919582201087
12  1503   6628.992951766304
13  1546   6682.757557744565
14  1667   6834.048658288044
15  1804   7005.34519361413
16  1864   7080.365574048913
17  2054   7317.930112092392
18  2093   7366.693359375
19  2183   7479.223930027174
20  2327   7659.272843070652
21  2370   7713.037449048913
22  2403   7754.298658288044
23  2508   7885.584324048913
24  2697   8121.898522418478
25  2836   8295.695737092392
26  2878   8348.21000339674
27  2946   8433.233101222826
28  3004   8505.752802309782
29  3102   8628.28609035326
30  3135   8669.547299592392
31  3219   8774.575832201088
32  3266   8833.341796875
33  3366   8958.375764266304
34  3400   9000.887313179348
35  3653   9317.223250679348
