Peaks found on 2018-11-01 13:20:37.924182

Number    Wavelength 
0  6047.173781997035
1  6047.174301862172
2  6088.0344783901955
3  6272.192234584167
4  6354.918502349062
5  6517.120640291173
6  6517.786674265984
7  6518.398422062155
8  6536.016784579022
9  6551.883150670665
10  6553.887006847401
11  6572.603401175211
12  6596.955287490286
13  6712.5232740251595
14  6732.514354157304
15  6801.4438721695105
16  6841.740977906957
17  6866.114627795504
18  7041.246368718665
19  7259.986528495607
20  7289.471687617093
21  7293.27049440378
22  7314.85190337983
23  7315.432663442851
24  7370.872999773743
25  7413.402766137737
26  7481.212584568608
27  7487.421682736986
28  7498.923740881665
29  7500.008580122537
30  7528.135382439517
31  7556.618949717746
32  7557.507748225468
33  7583.775658095581
34  7617.362369862704
35  7659.936312653965
36  7667.76689397153
37  7674.5874752541595
38  7810.000088964285
39  7886.196071136
40  7902.955088315415
41  8045.173163088879
42  8085.06191397019
43  8122.457240095139
44  8362.498113814114
45  8464.629198538005
46  8825.494715052655
47  8988.561115616325
48  9312.009434960215
