Peaks found on 2018-10-20 10:45:19.034427

Number    Wavelength 
0  5577.200140403429
1  5992.134117448844
2  6119.326639455865
3  6271.414803338937
4  6299.535737517995
5  6363.609930600739
6  6552.3858470997675
7  6790.471411048259
8  6835.323524055132
9  6836.407722053496
10  6867.37760572489
11  6889.338789189386
12  6943.439543059796
13  7035.256198377605
14  7241.2354654772535
15  7279.292301413606
16  7279.908205814156
17  7314.53846109287
18  7315.238102783921
19  7365.129500461337
20  7434.964018357876
21  7477.456691692817
22  7595.614960423018
23  7598.687884681197
24  7714.8616903296
25  7714.943865861689
26  7752.3552250839275
27  7752.734934963266
28  7771.7506402235695
29  7797.876598588855
30  7799.641829455552
31  7810.780563736167
32  7815.879179454489
33  7853.660573079116
34  7854.490582294933
35  7885.883667955815
36  7901.85651643532
37  7962.544376693744
38  7995.97007273474
39  8022.654259510415
40  8044.774675921237
41  8063.622227896135
42  8122.225954914082
43  8289.747807573041
44  8298.253099012429
45  8346.973067078896
46  8346.973069054635
47  8346.97307609264
48  8371.90458325255
49  8372.737774776253
50  8401.38287401481
51  8417.587637776982
52  8432.570600829917
53  8432.572807793815
54  8432.57283557017
55  8466.945548506093
56  8467.552838345284
57  8481.395055432564
58  8507.028860924154
59  8538.829749446879
60  8631.177313507156
61  8632.370728758986
62  8656.904719207121
63  8662.640848111943
64  8672.693787073322
65  8764.777893852135
66  8769.134131428887
67  8829.562616422469
68  8829.562618649308
69  8829.562664598865
70  8836.411330359935
71  8870.167225262107
72  8874.122651597869
73  8888.64580853581
74  8888.645821741802
75  8922.644592467148
76  8951.073564011223
77  8958.57817540672
78  8959.507413940937
79  8994.407061880474
80  8994.474067125118
81  9000.509564803036
82  9041.020059012477
83  9101.491456690499
84  9316.076509167851
85  9316.076519413822
86  9326.570624856391
