Peaks found on 2018-10-20 10:49:03.374122

Number    Wavelength 
0  5589.633261783872
1  5878.665651548371
2  5919.275678440359
3  6294.560946826824
4  6358.853233016288
5  7113.10716516874
6  7237.259764965177
7  7273.531456011672
8  7299.82961641589
9  7317.196198539222
10  7330.93422392902
11  7364.4474379592875
12  7445.174421278042
13  7445.218958498964
14  7536.242293507993
15  7536.354933764257
16  7539.408155357377
17  7599.159224603081
18  7629.879802072422
19  7686.676538847959
20  7716.985993237331
21  7716.988583695433
22  7752.372605147319
23  7758.772597378941
24  7795.672479193451
25  7822.506485617111
26  7823.038009605299
27  7853.810414188356
28  7890.906538205093
29  7935.0886243414925
30  7972.8355714393465
31  7993.916068776614
32  8027.0077052611705
33  8064.127729657079
34  8283.053398831387
35  8283.25815158475
36  8299.120785534982
37  8344.790432084861
38  8344.790436066003
39  8365.590094174693
40  8399.276563851783
41  8430.070004325024
42  8464.059643865263
43  8496.526942350134
44  8504.600244551879
45  8548.899615428227
46  8627.24735127435
47  8644.700755096112
48  8668.885861542107
49  8668.92172931737
50  8763.124128218442
51  8776.575470071548
52  8780.29390345292
53  8826.508385125015
54  8835.498995560722
55  8851.51386771049
56  8862.796434840686
57  8869.83143748517
58  8887.578320937553
59  8919.075032294635
60  8945.276310562367
61  8957.211986821221
62  9002.816169749942
63  9003.095837558129
64  9039.76165427479
65  9051.48153288686
66  9306.687863562223
67  9306.687957344693
68  9310.97212713553
69  9326.952118651589
70  9331.800817740823
