Peaks found on 2018-10-19 10:52:56.347268

Number    Index     Wavelength 
0  3   4753.483440896739
1  189   4986.046620244565
2  231   5038.560886548913
3  287   5108.579908288044
4  433   5291.129500679348
5  647   5558.702190896739
6  684   5604.964758831522
7  982   5977.565981657609
8  1160   6200.12644361413
9  1259   6323.910071331522
10  1310   6387.677394701087
11  1487   6608.987516983696
12  1720   6900.316661005434
13  1830   7037.85402513587
14  1885   7106.622707201087
15  2011   7264.16550611413
16  2055   7319.180451766304
17  2202   7502.980383831522
18  2283   7604.257897418478
19  2353   7691.781674592392
20  2388   7735.543563179348
21  2467   7834.320397418478
22  2499   7874.331266983696
23  2635   8044.37746263587
24  2665   8081.887652853261
25  2698   8123.148862092391
26  2898   8373.216796875
27  2989   8486.997707201088
28  3058   8573.271144701088
29  3244   8805.834324048912
30  3353   8942.121348505436
31  3650   9313.472231657608
32  3679   9349.732082201088
